brand,model,network_technology,2G_bands,3G_bands,4G_bands,network_speed,GPRS,EDGE,announced,status,dimentions,weight_g,weight_oz,SIM,display_type,display_resolution,display_size,OS,CPU,Chipset,GPU,memory_card,internal_memory,RAM,primary_camera,secondary_camera,loud_speaker,audio_jack,WLAN,bluetooth,GPS,NFC,radio,USB,sensors,battery,colors,approx_price_EUR,img_url,cluster_label,is_outlier
Yezz,Andy 3G 3.5 YZ1110,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 1900 - SIM 1 only,,HSPA 14.4/5.76 Mbps,Yes,Up to 60 kbps,2012  June,Available. Released 2012  November,117 x 63 x 12 mm (4.61 x 2.48 x 0.47 in),71,2.5,Dual SIM (Mini-SIM),TFT capacitive touchscreen  16M colors,3.5 inches (~49.5% screen-to-body ratio),320 x 480 pixels (~165 ppi pixel density),Android 4.0 (Ice Cream Sandwich),1.0 GHz Cortex-A9,Mediatek MT6575,PowerVR SGX531,microSD  up to 32 GB (dedicated slot),512 MB,256 MB RAM,3.2 MP| LED flash,VGA,Yes,Yes,Wi-Fi 802.11 b/g| hotspot,2.1,Yes,,Stereo FM radio,microUSB,Accelerometer| proximity,Removable Li-Ion 1200 mAh battery,Black,,http://cdn2.gsmarena.com/vv/bigpic/yezz-andy-3g-35-new.jpg,91,False
Amoi,A9B,GSM,GSM 900 / 1800 / 1900 ,,,,Yes,No,2003,Discontinued,86 x 44 x 21 mm (3.39 x 1.73 x 0.83 in),80,2.82,Mini-SIM,CSTN  65K colors,,128 x 128 pixels,,,,,No,,,,,No,No,No,No,No,,No,,,Removable Li-Ion 860 mAh battery,,,http://cdn2.gsmarena.com/vv/bigpic/ama9b.gif,0,False
NEC,e1108,GSM,GSM 900 / 1800 / 1900 ,,,,Class 10,No,2006,Discontinued,103 x 44 x 18.5 mm (4.06 x 1.73 x 0.73 in),84,2.96,Mini-SIM,TFT  65K colors,1.8 inches (~22.5% screen-to-body ratio),128 x 160 pixels (~114 ppi pixel density),,,,,microSD (dedicated slot),28 MB,,1.3 MP,No,Yes,No,No,No,No,,No,Yes,,Removable Li-Ion battery,Fluorescent Green| Metallic Orange,,http://cdn2.gsmarena.com/vv/bigpic/nec-e1108.gif,0,False
Samsung,S730i,GSM,GSM 900 / 1800 / 1900 ,,,,Yes,Yes,2007  July. Released 2007  October,Discontinued,100 x 50 x 14.8 mm (3.94 x 1.97 x 0.58 in),83,2.93,Mini-SIM,TFT  256K colors,2.0 inches (~25.2% screen-to-body ratio),176 x 220 pixels (~141 ppi pixel density),,,,,microSD (dedicated slot),80 MB,,2 MP| LED flash,No,Yes,No,No,2.0| A2DP,No,,No,2,,Removable Li-Ion 800 mAh battery,Silver,,http://cdn2.gsmarena.com/vv/bigpic/samsung-s730.gif,0,False
verykool,i115,GSM,GSM 850 / 1900 - SIM 1,,,,Class 12,No,2011,Available. Released 2011,107 x 45.5 x 14 mm (4.21 x 1.79 x 0.55 in),65,2.29,Dual SIM (Mini-SIM),TFT  65K colors,1.5 inches (~14.3% screen-to-body ratio),-,,,,,microSD (dedicated slot),,,,,Yes,No,No,No,No,,FM radio,No,,Removable Li-Ion battery,Red| Green,,http://cdn2.gsmarena.com/vv/bigpic/verykool-i115.jpg,0,False
Sendo,J520,GSM,GSM 900 / 1800 ,,,,No,No,4Q  2001,Discontinued,113 x 50 x 25 mm| 79 cc (4.45 x 1.97 x 0.98 in),75,2.65,Mini-SIM,Monochrome graphic,,96 x 64 pixels| 6 lines,,,,,No,,,,,No,No,No,No,No,,No,,,Removable Li-Ion battery,,,http://cdn2.gsmarena.com/vv/bigpic/sej520.gif,0,False
Samsung,C120,GSM,GSM 900 / 1800 ,,,,No,No,2005  4Q,Discontinued,105 x 44 x 18 mm (4.13 x 1.73 x 0.71 in),76,2.68,Mini-SIM,CSTN  65K colors,1.6 inches (~17.9% screen-to-body ratio),128 x 128 pixels (~113 ppi pixel density),,,,,No,,,,,No,No,No,No,No,,No,No,,Removable Li-Ion 800 mAh battery,Black,,http://cdn2.gsmarena.com/vv/bigpic/samsung-c120.gif,0,False
Motorola,MOTO MT870,GSM,GSM 900 / 1800 / 1900 , TD-SCDMA,,HSPA,Class 12,Class 12,2011  June,Available. Released 2011  Q3,123 x 64.8 x 13.2 mm (4.84 x 2.55 x 0.52 in),149,5.26,Mini-SIM,TFT capacitive touchscreen,4.0 inches (~55.3% screen-to-body ratio),540 x 960 pixels (~275 ppi pixel density),Android 2.3 (Gingerbread),Dual-core 1.0 GHz Cortex-A9,Nvidia Tegra 2 AP20H,ULP GeForce,microSD  up to 32 GB (dedicated slot),4 GB,512 MB RAM,8 MP| autofocus| dual-LED flash,VGA,Yes,Yes,Wi-Fi 802.11 b/g| hotspot,2.1| A2DP| EDR,Yes with A-GPS,,No,microUSB 2.0,Accelerometer| proximity| compass,Removable Li-Ion 1880 mAh battery,Cloud gray| Light gold,180.0,http://cdn2.gsmarena.com/vv/bigpic/motorola-moto-mt870.jpg,0,False
Samsung,V200,GSM,GSM 900 / 1800 / 1900 ,,,,Class 8,No,1Q  2003,Discontinued,91 x 47 x 23 mm (3.58 x 1.85 x 0.91 in),96,3.39,Mini-SIM,TFD  65K colors,,128 x 160 pixels| 7 lines,,,,,No,,,CIF,No,No,No,No,No,No,,No,,,Removable Li-Ion 720 mAh battery,,,http://cdn2.gsmarena.com/vv/bigpic/ssv200.gif,0,False
Benefon,TWIG Discovery,GSM,GSM 900 / 1800 / 1900 ,,,,Class 10,No,2006  June,Discontinued,116 x 51 x 24 mm (4.57 x 2.01 x 0.94 in),128,4.52,Mini-SIM,TFT  256K colors,2.0 inches| 31.2 x 41.2 mm (~21.3% screen-to-body ratio),176 x 220 pixels (~141 ppi pixel density),,,,,miniSD,,,,,No,No,No,Yes,Yes,,No,Yes,,Removable Li-Ion 1000 mAh battery,Black,,http://cdn2.gsmarena.com/vv/bigpic/benefon-twig.gif,0,False
Nokia,6085,GSM,GSM 850 / 900 / 1800 / 1900 ,,,,Class 10,Class 10,2006  September,Discontinued,92 x 46 x 23 mm (3.62 x 1.81 x 0.91 in),84,2.96,Mini-SIM,CSTN  256K colors,1.8 inches| 28 x 35 mm (~24.1% screen-to-body ratio),128 x 160 pixels (~114 ppi pixel density),,,,,microSD  up to 2 GB (dedicated slot),4 MB,,VGA,No,Yes,No,No,2.0| A2DP,No,,FM radio,Pop-Port 1.1,,Removable Li-Ion 970 mAh battery (BL-5C),,80.0,http://cdn2.gsmarena.com/vv/bigpic/nokia-6085.gif,0,False
Pantech,G670,GSM,GSM 900 / 1800 ,,,,Class 10,No,2004  4Q,Discontinued,80 x 40 x 21 mm (3.15 x 1.57 x 0.83 in),85,3,Mini-SIM,TFT  256K colors,,128 x 160 pixels,,,,,No,1.8 MB,,VGA,No,No,No,No,No,No,,No,,Thermometer,Removable Li-Ion battery,Gray,,http://cdn2.gsmarena.com/vv/bigpic/pthg670.gif,0,False
Panasonic,SC3,GSM,GSM 900 / 1800 ,,,,Class 8,No,2005  1Q,Discontinued,91.5 x 45 x 16.8 mm| 77 cc (3.60 x 1.77 x 0.66 in),76,2.68,Mini-SIM,TFT  65K colors,,128 x 128 pixels,,,,,No,,,VGA,No,No,No,No,No,No,,No,,,Removable Li-Ion 730 mAh battery,Black| Silver,,http://cdn2.gsmarena.com/vv/bigpic/pasc3.gif,0,False
Acer,Liquid X2,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 ,HSDPA 900 / 1900 / 2100 - Europe| Taiwan, LTE 800 / 1800 / 2100 / 2600 - Europe,HSPA 42.2/5.76 Mbps  LTE Cat4 150/50 Mbps,Yes,Yes,2015  April,Available. Released 2016  February,153.3 x 78.8 x 8.5 mm (6.04 x 3.10 x 0.33 in),166,5.86,Triple SIM (Micro-SIM),IPS LCD capacitive touchscreen  16M colors,5.5 inches (~69.0% screen-to-body ratio),720 x 1280 pixels (~267 ppi pixel density),Android 5.1 (Lollipop),Octa-core 1.3 GHz Cortex-A53,Mediatek MT6753,Mali-T720MP4,microSD  up to 32 GB (dedicated slot),32 GB,3 GB RAM,13 MP| f/1.8| autofocus| LED flash| ,13 MP| f/1.8| autofocus| LED flash,Yes,Yes,Wi-Fi 802.11 b/g/n| hotspot,4.0| A2DP| LE,Yes with A-GPS,,FM radio,microUSB 2.0,Accelerometer| proximity| compass,Removable Li-Po 4020 mAh battery,Black| Gold,230.0,http://cdn2.gsmarena.com/vv/bigpic/acer-liquid-x2-1.jpg,-1,True
LG,Tribute,CDMA / EVDO / LTE,CDMA 800 / 1900 ,CDMA2000 1xEV-DO ,LTE band 25(1900)| 26(850)| 41(2500),LTE  EV-DO Rev.A 3.1 Mbps,No,No,2014  September,Available. Released 2014  October,127.5 x 67.8 x 10.7 mm (5.02 x 2.67 x 0.42 in),138.9,4.94,Micro-SIM,IPS LCD capacitive touchscreen  16M colors,4.5 inches (~66.7% screen-to-body ratio),480 x 800 pixels (~207 ppi pixel density),Android 4.4.2 (KitKat),Quad-core 1.2 GHz Cortex-A7,Qualcomm MSM8926 Snapdragon 400,Adreno 305,microSD  up to 32 GB (dedicated slot),4 GB,1 GB RAM,5 MP| autofocus| LED flash,VGA,Yes,Yes,Wi-Fi 802.11 b/g/n| hotspot,4.0| A2DP| LE,Yes with A-GPS,,No,microUSB 2.0,Accelerometer| proximity,Removable Li-Ion 2100 mAh battery,White,50.0,http://cdn2.gsmarena.com/vv/bigpic/lg-tribute-ls660.jpg,-1,True
Prestigio,MultiPad 4 Quantum 10.1 3G,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 900 / 2100 ,,HSPA 7.2/5.76 Mbps,Yes,Yes,2014  Q1,Available. Released 2014  Q1,260 x 170 x 9.5 mm (10.24 x 6.69 x 0.37 in),612,1.35,Yes,IPS LCD capacitive touchscreen,10.1 inches (~66.9% screen-to-body ratio),800 x 1280 pixels (~149 ppi pixel density),Android 4.2 (Jelly Bean),Quad-core 1.6 GHz Cortex-A9,Rockchip RK3188,Mali-400MP4,microSD  up to 32 GB (dedicated slot),16 GB,1 GB RAM,2 MP,VGA,Yes with stereo speakers,Yes,Wi-Fi 802.11 b/g/n| hotspot,3,No,,,microUSB 2.0| USB Host,Accelerometer,Non-removable Li-Po 7000 mAh battery,Black/Deep Blue,220.0,http://cdn2.gsmarena.com/vv/bigpic/prestigio-multipad4-quantum-101.jpg,0,False
LG,Optimus G Pro E985,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - all versions,HSDPA 900 / 2100 - E985| E986,LTE band 3(1800)| 7(2600) - E988,HSPA 42.2/5.76 Mbps  LTE Cat3 100/50 Mbps,Class 12,Class 12,2013  February,Available. Released 2013  April,150.2 x 76.1 x 9.4 mm (5.91 x 3.00 x 0.37 in),172,6.07,Micro-SIM,True Full HD IPS Plus LCD capacitive touchscreen  16M colors,5.5 inches (~73.0% screen-to-body ratio),1080 x 1920 pixels (~401 ppi pixel density),Android 4.1.2 (Jelly Bean)| planned upgrade to 4.4.2 (KitKat),Quad-core 1.7 GHz Krait 300,Qualcomm APQ8064T Snapdragon S4 Pro,Adreno 320,microSD  up to 64 GB (dedicated slot),16/32 GB,2 GB RAM,13 MP| autofocus| LED flash| ,2.1 MP| 1080p@30fps,Yes,Yes,Wi-Fi 802.11 a/b/g/n/ac| dual-band| Wi-Fi Direct| DLNA| hotspot,4.0| A2DP| aptX,Yes with A-GPS S-GPS GLONASS,Yes,Stereo FM radio| RDS,microUSB 2.0 (SlimPort)| USB Host,Accelerometer| gyro| proximity| compass,Removable Li-Ion 3140 mAh battery,Black| White,400.0,http://cdn2.gsmarena.com/vv/bigpic/lg-optimus-g-pro.jpg,67,False
i-mobile,TV650 Touch,GSM,GSM 900 / 1800 / 1900 ,,,,Class 10,Class 10,2009  July. Released 2009  Q4,Discontinued,110 x 55 x 13.4 mm (4.33 x 2.17 x 0.53 in),,,Dual SIM (Mini-SIM),TFT touchscreen  256K colors,3.0 inches (~46.1% screen-to-body ratio),240 x 320 pixels (~133 ppi pixel density),,,,,microSD  up to 8 GB (dedicated slot),,,3.15 MP,No,Yes,No,No,1.2| A2DP,No,,FM radio,miniUSB,Accelerometer,Removable Li-Ion 1000 mAh battery,Black,,http://cdn2.gsmarena.com/vv/bigpic/i-mobile-tv650-touch.jpg,0,False
Micromax,X277,GSM,GSM 900 / 1800 - SIM 1 & SIM 2,,,,No,No,2012  May,Available,118.3 x 48.8 x 14 mm (4.66 x 1.92 x 0.55 in),,,Dual SIM (Mini-SIM),TFT,2.4 inches (~30.9% screen-to-body ratio),240 x 320 pixels (~167 ppi pixel density),,,,,microSD  up to 2 GB (dedicated slot),,,VGA,No,Yes,Yes,No,Yes,No,,FM radio,Yes,,Removable Li-Ion 1000 mAh battery,Red| Blue,20.0,http://cdn2.gsmarena.com/vv/bigpic/micromax-x277.jpg,0,False
Nokia,5130 XpressMusic,GSM,GSM 850 / 900 / 1800 / 1900 ,,,,Class 32,Class 32,2008  November. Released 2009  February,Discontinued,107.5 x 46.7 x 14.8 mm| 65 cc (4.23 x 1.84 x 0.58 in),88,3.1,Mini-SIM,256K colors,2.0 inches (~24.7% screen-to-body ratio),240 x 320 pixels (~200 ppi pixel density),,,,,microSD  up to 16 GB (dedicated slot)  1 GB included,30 MB,,2 MP,No,Yes,Yes,No,2.0| A2DP,No,,Stereo FM radio| RDS,microUSB 2.0,,Removable Li-Ion 1020 mAh battery (BL-5C),Red| Blue| White Aqua (T-Mobile exclusive),60.0,http://cdn2.gsmarena.com/vv/bigpic/nokia-5130-e.jpg,0,False
Sony Ericsson,K790,GSM,GSM 900 / 1800 / 1900 - K790i,,,,Class 10,Class 10,2006  February,Discontinued,105 x 47 x 22 mm (4.13 x 1.85 x 0.87 in),115,4.06,Mini-SIM,TFT  256K colors,2.0 inches (~25.1% screen-to-body ratio),240 x 320 pixels (~200 ppi pixel density),,,,,Memory Stick Micro (M2)  up to 2 GB,64 MB,,3.15 MP| autofocus| xenon flash,No,Yes,No,No,2.0| A2DP,No,,Stereo FM radio| RDS,2,,Removable Li-Po 900 mAh battery (BST-33),Velvet Black| Allure Brown,150.0,http://cdn2.gsmarena.com/vv/bigpic/sonyericsson-k790.gif,0,False
Samsung,Mpower TV S239,CDMA / EVDO,CDMA 800 ,CDMA2000 1xEV-DO ,,EV-DO Rev. 0,No,No,2010. Released 2010,Discontinued,118.5 x 50 x 12.5 mm (4.67 x 1.97 x 0.49 in),87,3.07,Mini-SIM,TFT  256K colors,2.4 inches (~30.1% screen-to-body ratio),240 x 320 pixels (~167 ppi pixel density),,,,,microSD  up to 16 GB (dedicated slot),85 MB,,1.3 MP,No,Yes,No,No,2,No,,FM radio| recording,2,,Removable Li-Ion 960 mAh battery,Black,,http://cdn2.gsmarena.com/vv/bigpic/samsung-mpower-tv-s239.jpg,0,False
Samsung,I8530 Galaxy Beam,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 900 / 1900 / 2100 ,,HSPA 14.4/5.76 Mbps,Class 12,Class 12,2012  February,Available. Released 2012  July,124 x 64.2 x 12.5 mm (4.88 x 2.53 x 0.49 in),145.3,5.11,Mini-SIM,TFT capacitive touchscreen  16M colors,4.0 inches (~57.2% screen-to-body ratio),480 x 800 pixels (~233 ppi pixel density),Android 2.3.6 (Gingerbread)| planned upgrade to 4.1 (Jelly Bean),Dual-core 1.0 GHz Cortex-A9,NovaThor U8500,Mali-400,microSD  up to 32 GB (dedicated slot),8 GB,768 MB RAM,5 MP| autofocus| LED flash| ,1.3 MP,Yes,Yes,Wi-Fi 802.11 b/g/n| DLNA| hotspot,3.0| A2DP,Yes with A-GPS,,Stereo FM radio| RDS,microUSB 2.0,Accelerometer| gyro| proximity| compass,Removable Li-Ion 2000 mAh battery,Black,240.0,http://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-beam-2012.jpg,0,False
BLU,Studio X8 HD,GSM,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,,Yes,Yes,2016  May,Available. Released 2016  May,146 x 73.6 x 9.9 mm (5.75 x 2.90 x 0.39 in),144,5.08,Dual SIM (Micro-SIM| dual stand-by),IPS LCD capacitive touchscreen  16M colors,5.0 inches (~64.1% screen-to-body ratio),720 x 1280 pixels (~294 ppi pixel density),Android 5.1 (Lollipop),Octa-core 1.4 GHz Cortex-A7,,Mali-450,microSD  up to 64 GB,4 GB,512 MB RAM,5 MP| LED flash,5 MP,Yes,Yes,Wi-Fi 802.11 b/g/n| Wi-Fi Direct| hotspot,4.0| A2DP,Yes with A-GPS,,Stereo FM radio,microUSB 2.0,Accelerometer,Removable Li-Ion 2000 mAh battery,Black| White,,http://cdn2.gsmarena.com/vv/bigpic/blu-studio-x8-hd.jpg,0,False
Allview,P3 AllDro,GSM / HSPA,GSM 900 / 1800 ,HSDPA 2100 ,,HSPA 7.2/5.76 Mbps,Class 12,Class 10,2012  January,Available. Released 2012  January,121.5 x 65.4 x 12.9 mm (4.78 x 2.57 x 0.51 in),135.5,4.76,Dual SIM (dual stand-by),TFT capacitive touchscreen,4.1 inches (~60.2% screen-to-body ratio),480 x 800 pixels (~228 ppi pixel density),Android 2.3.5 (Gingerbread),670 MHz,,PowerVR SGX531,microSD  up to 32 GB (dedicated slot)  4 GB included,512 MB,512 MB RAM,8 MP| autofocus| LED flash,VGA,Yes,Yes,Wi-Fi 802.11 b/g| hotspot,2.1| A2DP,Yes with A-GPS,,No,microUSB 2.0,Accelerometer| proximity,Removable Li-Ion 1900 mAh battery,Black| White,100.0,http://cdn2.gsmarena.com/vv/bigpic/allview-p3-alldro.jpg,205,False
Micromax,Canvas A1,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 2100 ,,HSPA,Class 12,Class 12,2014  September,Available. Released 2014  September,-,,,Dual SIM (Micro-SIM| dual stand-by),IPS LCD capacitive touchscreen  16M colors,4.5 inches (~27.9% screen-to-body ratio),480 x 854 pixels (~218 ppi pixel density),Android 4.4.4 (KitKat)| upgradable to 5.1 (Lollipop),Quad-core 1.3 GHz Cortex-A7,Mediatek MT6582,Mali-400MP2,microSD  up to 32 GB,4 GB,1 GB RAM,5 MP| autofocus| LED flash,2 MP,Yes,Yes,Wi-Fi 802.11 b/g/n| hotspot,4.0| A2DP,Yes with A-GPS,,FM radio,microUSB 2.0,Accelerometer| proximity,Removable Li-Ion 1700 mAh battery,Black| White,80.0,http://cdn2.gsmarena.com/vv/bigpic/micromax-canvas-a1.jpg,0,False
Motorola,MOTO XT316,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 2100 ,,HSPA 7.2/0.384 Mbps,Class 12,Class 12,2011  June,Available. Released 2011  July,116.5 x 58 x 13.5 mm (4.59 x 2.28 x 0.53 in),110,3.88,Mini-SIM,TFT capacitive touchscreen  256K colors,2.8 inches (~35.9% screen-to-body ratio),240 x 320 pixels (~143 ppi pixel density),Android 2.2 (Froyo)| upgradable to 2.3 (Gingerbread),600 MHz ARM 11,Qualcomm MSM7227-1 Snapdragon S1,Adreno 200,microSD  up to 32 GB (dedicated slot),512 MB,256 MB RAM,3.15 MP,No,Yes,Yes,Wi-Fi 802.11 b/g/n,2.1| A2DP| EDR,Yes with A-GPS,,Stereo FM radio| RDS,microUSB 2.0,Accelerometer| proximity| compass,Removable Li-Ion 1420 mAh battery,Black,50.0,http://cdn2.gsmarena.com/vv/bigpic/motorola-moto-xt316-new.jpg,0,False
Asus,V88i,GSM / UMTS,GSM 900 / 1800 / 1900 ,UMTS 2100 ,,Yes  384 kbps,Class 10,Yes,2007,Discontinued,101 x 45 x 16 mm (3.98 x 1.77 x 0.63 in),80,2.82,Mini-SIM,TFT resistive touchscreen  256K colors,,176 x 220 pixels,,,,,microSD (dedicated slot),35 MB,,2 MP| autofocus,Videocall camera,No,No,No,2,No,,FM radio,Yes,,Removable Li-Ion battery,Black,290.0,http://cdn2.gsmarena.com/vv/bigpic/asus-v88i.gif,0,False
Sagem,MY Z-3,GSM,GSM 900 / 1800 ,,,,Class 10,No,2004  1Q,Discontinued,100 x 45 x 24 mm (3.94 x 1.77 x 0.94 in),105,3.7,Mini-SIM,CSTN  65K colors,,128 x 160 pixels,,,,,No,1.5 MB,,,,No,No,No,No,No,,No,Yes,,Removable Li-Ion 780 mAh battery,,,http://cdn2.gsmarena.com/vv/bigpic/samyz3.gif,0,False
Samsung,S8000 Jet,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 900 / 2100 ,,HSPA 3.6/0.384 Mbps,Class 12,Class 12,2009  June. Released 2009  June,Discontinued,108.8 x 53.5 x 11.9 mm (4.28 x 2.11 x 0.47 in),110,3.88,Mini-SIM,AMOLED resistive touchscreen  16M colors,3.1 inches (~47.0% screen-to-body ratio),480 x 800 pixels (~301 ppi pixel density),,800 MHz,Qualcomm MSM6246,,microSD  up to 16 GB (dedicated slot),2/8 GB,,5 MP| autofocus| dual-LED flash| ,Videocall camera,Yes,Yes,Wi-Fi 802.11 b/g,2.1| A2DP,Yes with A-GPS Route 66,,Stereo FM radio| RDS| recording,microUSB 2.0,Accelerometer| proximity| compass,Removable Li-Ion 1100 mAh battery,Black| Mystic Purple,120.0,http://cdn2.gsmarena.com/vv/bigpic/samsung-jet.jpg,4,False
Samsung,Galaxy S7 active,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 1900 / 2100 ,LTE band 1(2100)| 2(1900)| 3(1800)| 4(1700/2100)| 5(850)| 7(2600)| 8(900)| 12(700)| 20(800)| 29(700)| 30(2300)| 38(2600)| 39(1900)| 40(2300)| 41(2500),HSPA 42.2/5.76 Mbps  LTE-A (3CA) Cat9 450/50 Mbps,Yes,Yes,2016  June,Available. Released 2016  June,148.8 x 74.9 x 9.9 mm (5.86 x 2.95 x 0.39 in),184.8,6.53,Nano-SIM,Super AMOLED capacitive touchscreen  16M colors,5.1 inches (~64.3% screen-to-body ratio),1440 x 2560 pixels (~576 ppi pixel density),Android 6.0 (Marshmallow)| upgradable to 7.0 (Nougat),Quad-core (2x2.15 GHz Kryo & 2x1.6 GHz Kryo),Qualcomm MSM8996 Snapdragon 820,Adreno 530,microSD  up to 256 GB (dedicated slot),32 GB,4 GB RAM,12 MP| f/1.7| 26mm| phase detection autofocus| OIS| LED flash,5 MP| f/1.7| 22mm| dual video call| Auto HDR,Yes,Yes,Wi-Fi 802.11 a/b/g/n/ac| dual-band| Wi-Fi Direct| hotspot,4.2| A2DP| LE| aptX,Yes with A-GPS GLONASS,Yes,Stereo FM radio| RDS,microUSB 2.0| USB Host,Fingerprint (front-mounted)| accelerometer| gyro| proximity| compass| barometer| heart rate| SpO2,Non-removable Li-Ion 4000 mAh battery,Camo Green| Titanium Gray| Sandy Gold,710.0,http://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-s7-active.jpg,45,False
NEC,N500,GSM,GSM 900 / 1800 ,,,,Yes,No,2004  4Q,Discontinued,86 x 48 x 14.5 mm (3.39 x 1.89 x 0.57 in),80,2.82,Mini-SIM,TFT resistive touchscreen  256K colors,,176 x 220 pixels,,,,,No,,,VGA,No,No,No,No,No,No,,No,,,Removable Li-Ion battery,White| black,,http://cdn2.gsmarena.com/vv/bigpic/nen500.gif,0,False
WND,Wind DUO 2300,GSM,GSM 900 / 1800 / 1900 ,,,,Class 10,No,2007  October,Cancelled,99.5 x 47.5 x 18 mm (3.92 x 1.87 x 0.71 in),120,4.23,Dual SIM (Mini-SIM),TFT  256K colors,1.9 inches (~23.7% screen-to-body ratio),240 x 320 pixels (~211 ppi pixel density),,,,,microSD on both sides,,,2 MP (on each side),No,Yes,No,No,1.2| A2DP,No,,No,1.1,,Removable Li-Ion 930 mAh battery,White-gold| Yellow-gold,,http://cdn2.gsmarena.com/vv/bigpic/wind-duo-2300.gif,0,False
Samsung,C3010,GSM,GSM 900 / 1800 / 1900 ,,,,Class 10,Class 10,2009  February. Released 2009,Discontinued,110.5 x 45.8 x 12.1 mm (4.35 x 1.80 x 0.48 in),66,2.33,Mini-SIM,TFT  65K colors,2.0 inches (~24.9% screen-to-body ratio),128 x 160 pixels (~102 ppi pixel density),,,,,microSD  up to 8 GB (dedicated slot),15 MB,,VGA,No,Yes,No,No,2,No,,FM radio| RDS,2,,Removable Li-Ion 800 mAh battery,Black,80.0,http://cdn2.gsmarena.com/vv/bigpic/samsung-c3010.jpg,0,False
Huawei,Ascend Y200,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 900 / 2100 ,,HSPA 7.2/5.76 Mbps,Yes,Yes,2012  May,Available. Released 2012  May,116.9 x 60.4 x 11.7 mm (4.60 x 2.38 x 0.46 in),120,4.23,Mini-SIM,IPS LCD capacitive touchscreen  256K colors,3.5 inches (~51.7% screen-to-body ratio),320 x 480 pixels (~165 ppi pixel density),Android 2.3 (Gingerbread),800 MHz Cortex-A5,Qualcomm MSM7225A Snapdragon S1,Adreno 200,microSD  up to 32 GB (dedicated slot),512 MB,256 MB RAM,3.15 MP,No,Yes with stereo speakers,Yes,Wi-Fi 802.11 b/g/n| Wi-Fi Direct| hotspot,2.1| A2DP,Yes with A-GPS,Optional,FM radio,microUSB 2.0,Accelerometer| proximity| compass,Removable Li-Ion 1250/1400 mAh battery,Black,110.0,http://cdn2.gsmarena.com/vv/bigpic/huawei-ascend-y200.jpg,0,False
Nokia,1662,GSM,GSM 900 / 1800 ,,,,No,No,2008  November. Released 2009  Q2,Discontinued,108 x 45 x 13.8 mm| 58.8 cc (4.25 x 1.77 x 0.54 in),82,2.89,Mini-SIM,TFT  65K colors,1.8 inches (~21.0% screen-to-body ratio),128 x 160 pixels (~114 ppi pixel density),,,,,No,,,,,Yes,No,No,No,No,,FM radio,No,,Removable Li-Ion 860 mAh battery (BL-4C),Black| Blue,30.0,http://cdn2.gsmarena.com/vv/bigpic/nokia-1662.jpg,0,False
vivo,V5 Plus,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 2100 ,LTE band 1(2100)| 3(1800)| 5(850)| 7(2600)| 8(900)| 40(2300),HSPA  LTE,Yes,Yes,2017  January,Available. Released 2017  January,152.6 x 74 x 7.3 mm (6.01 x 2.91 x 0.29 in),158.6,5.61,Dual SIM (Nano-SIM| dual stand-by),IPS LCD capacitive touchscreen  16M colors,5.5 inches (~73.8% screen-to-body ratio),1080 x 1920 pixels (~401 ppi pixel density),Android 6.0 (Marshmallow),Octa-core 2.0 GHz Cortex-A53,Qualcomm MSM8953 Snapdragon 625,Adreno 506,No,64 GB,4 GB RAM,16 MP| f/2.0| phase detection autofocus| LED flash| ,"Dual 20 MP + 8 MP| f/2.0| 1/2.8"" sensor size| 1080p",Yes,Yes,Wi-Fi 802.11 a/b/g/n/ac| dual-band| WiFi Direct| DLNA| hotspot,4.0| A2DP,Yes with A-GPS GLONASS BDS,,No,microUSB 2.0| USB On-The-Go,Fingerprint (front-mounted)| accelerometer| gyro| proximity| compass,Non-removable Li-Ion 3160 mAh battery,Gold| Gray,450.0,http://cdn2.gsmarena.com/vv/bigpic/vivo-v5-plus.jpg,-1,True
