brand,model,network_technology,2G_bands,3G_bands,4G_bands,network_speed,GPRS,EDGE,announced,status,dimentions,weight_g,weight_oz,SIM,display_type,display_resolution,display_size,OS,CPU,Chipset,GPU,memory_card,internal_memory,RAM,primary_camera,secondary_camera,loud_speaker,audio_jack,WLAN,bluetooth,GPS,NFC,radio,USB,sensors,battery,colors,approx_price_EUR,img_url
,C6712 Star II DUOS,GSM,GSM 850 / 900 / 1800 / 1900 - SIM 1,,,,Class 12,Yes,2011  April,Available. Released 2011  May,,100,3.32,Dual SIM (Mini-SIM| dual stand-by),TFT capacitive touchscreen  256K colors,3.2 inches (~47.5% screen-to-body ratio),240 x 400 pixels (~146 ppi pixel density),,,,,microSD  up to 16 GB (dedicated slot),30 MB,,3.15 MP,No,Yes,Yes,Wi-Fi 802.11 b/g/n,3.0| A2DP,No,,FM radio| RDS| recording,microUSB 2.0,,Removable Li-Ion 1200 mAh battery,Black,80.0,http://cdn2.gsmarena.com/vv/bigpic/samsung-c6712-star-ii-duos-new.jpg
NIU,Niutek 3.5D,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 1900 - SIM 1 or SIM 2,,HSPA 21.1/5.76 Mbps,Class 12,Class 12,2013  December,Available. Released 2014  January,118 x 62.5 x 13.5 mm (4.65 x 2.46 x 0.53 in),108,3.81,Dual SIM (Mini-SIM),TFT capacitive touchscreen  256K colors,3.5 inches (~49.5% screen-to-body ratio),320 x 480 pixels (~165 ppi pixel density),,Dual-core 1.0 GHz Cortex-A7,Mediatek MT6572,Mali-400,microSD  up to 32 GB (dedicated slot),512 MB,256 MB RAM,2 MP| LED flash,,Yes,Yes,Wi-Fi 802.11 a/b/g/n| dual-band| hotspot,,Yes with A-GPS,,,microUSB 2.0,Accelerometer| proximity,Removable Li-Ion 1400 mAh battery,Black| Blue| Green| White| Yellow,,http://cdn2.gsmarena.com/vv/bigpic/niu-tek-35d.jpg
QMobile,Noir S5,GSM / HSPA,,HSDPA 900 / 2100 ,,HSPA 21.1/5.76 Mbps,Yes,Yes,2015  August,Available. Released 2015  August,141 x 68.4 x 7.5 mm (5.55 x 2.69 x 0.30 in),,,Dual SIM (Micro-SIM| dual stand-by),,4.8 inches (~65.9% screen-to-body ratio),720 x 1280 pixels (~306 ppi pixel density),,Quad-core 1.3 GHz Cortex-A7,Mediatek MT6582,Mali-400MP2,microSD  up to 64 GB,,1 GB RAM,8 MP| autofocus| LED flash,8 MP| LED flash,Yes,Yes,Wi-Fi 802.11 b/g/n| Wi-Fi Direct| hotspot,4.0| A2DP,Yes with A-GPS,,FM radio,microUSB 2.0,Accelerometer| proximity| gravity,Li-Ion 2300 mAh battery,Black/White,,http://cdn2.gsmarena.com/vv/bigpic/qmobile-noir-s5.jpg
,OT-908F,GSM,GSM 900 / 1800 ,,,HSPA 7.2/0.384 Mbps,Yes,,,Available,110 x 57.4 x 12.4 mm (4.33 x 2.26 x 0.49 in),120,4.23,Mini-SIM,TFT capacitive touchscreen  256K colors,2.8 inches (~38.5% screen-to-body ratio),240 x 320 pixels (~143 ppi pixel density),Android 2.2 (Froyo),,,,microSD  up to 32 GB (dedicated slot),,,2 MP,No,Yes,Yes,Wi-Fi 802.11 b/g| hotspot,3.0| A2DP,Yes with A-GPS,,Stereo FM radio| RDS,microUSB 2.0,Accelerometer| proximity| compass,Removable Li-Ion battery,,,http://cdn2.gsmarena.com/vv/bigpic/alcatel-onetouch908f.jpg
Qtek,2020,GSM,GSM 900 / 1800 / 1900 ,,,,Class 10,No,2004  2Q,Discontinued,,190,,Mini-SIM,TFT resistive touchscreen  65K colors,3.5 inches| 53 x 71 mm (~41.7% screen-to-body ratio),240 x 320 pixels (~114 ppi pixel density),Microsoft Windows Mobile 2003 PocketPC,,,,,,,VGA,No,Yes,No,No,,No,,No,,,Removable Li-Ion 1200 mAh battery,Silver,,
Sagem,MY X-1w,GSM,GSM 900 / 1800 ,,,,Class 4,No,4Q  2003,Discontinued,106 x 47 x 21 mm (4.17 x 1.85 x 0.83 in),93,3.28,Mini-SIM,Monochrome graphic,,64 x 96 pixels| 7 lines,,,,,No,,,,,Yes,No,No,No,No,,,,,Removable Li-Ion battery,,,http://cdn2.gsmarena.com/vv/bigpic/samyx1w.gif
Samsung,A847 Rugby II,GSM / HSPA,,HSDPA 850 / 1900 / 2100 ,,HSPA 7.2/0.384 Mbps,Class 10,Class 10,2010  May. Released 2010  June,Discontinued,102 x 52 x 22 mm (4.02 x 2.05 x 0.87 in),100,3.53,Mini-SIM,TFT  256K colors,2.2 inches (~28.3% screen-to-body ratio),240 x 320 pixels (~182 ppi pixel density),,,,,microSD  up to 16 GB (dedicated slot),70 MB,,2 MP,No,Yes,No,No,2.0| A2DP,A-GPS only; AT&T Navigator,,No,microUSB 2.0,,,Black,100.0,http://cdn2.gsmarena.com/vv/bigpic/samsung-a847-Rugby-II.jpg
,,GSM,,,,,Class 10,No,2003  3Q,Discontinued,83 x 46 x 21 mm (3.27 x 1.81 x 0.83 in),80,,,TFD  65K colors,,128 x 160 pixels| 8 lines,,,,,No,,,,,No,No,No,No,No,,No,,,Removable Li-Ion 720 mAh battery,,,http://cdn2.gsmarena.com/vv/bigpic/sse100.gif
Motorola,MT710 ZHILING,GSM / HSPA,GSM 900 / 1800 / 1900 , HSDPA,,HSPA,Class 10,Class 10,2009  December. Released 2010  February,Discontinued,118 x 59.5 x 12.3 mm (4.65 x 2.34 x 0.48 in),125,4.41,Mini-SIM,TFT resistive touchscreen  256K colors,3.7 inches (~53.7% screen-to-body ratio),480 x 854 pixels (~265 ppi pixel density),Android-based OPhone 1.5, 624 MHz Marvell PXA310,,,,4 GB,256 MB RAM,5 MP| autofocus| dual-LED flash,Yes,Yes,Yes,,2.1| A2DP,,,Stereo FM radio| RDS,microUSB 2.0,Accelerometer,Removable Li-Po 1140 mAh battery,,230.0,
LG,Cosmos 2,CDMA / CDMA2000,CDMA 800 / 1900 ,,,Yes,No,,2011  July,Available. Released 2011  July,112 x 52 x 16 mm (4.41 x 2.05 x 0.63 in),130,,Mini-SIM,TFT  256K colors,2.0 inches (~21.3% screen-to-body ratio),,,,,,microSD  up to 32 GB (dedicated slot),,,1.3 MP,No,,Yes,No,2.1| A2DP| EDR,No,,,microUSB 2.0,,,Black,90.0,http://cdn2.gsmarena.com/vv/bigpic/lg-cosmos-2.jpg
Celkon,Campus Crown Q40,GSM / HSPA,GSM 900 / 1800 - SIM 1 & SIM 2,HSDPA 2100 ,,Yes,Yes,Yes,2014  October,Available. Released 2014  October,125.5 x 64.7 x 9.6 mm (4.94 x 2.55 x 0.38 in),109.3,3.84,Dual SIM,IPS LCD capacitive touchscreen,4.0 inches (~56.1% screen-to-body ratio),480 x 800 pixels (~233 ppi pixel density),Android 4.4 (KitKat),,Mediatek MT6582M,Mali-400MP2,,4 GB,512 MB RAM,5 MP| autofocus| LED flash,Yes,Yes,Yes,Wi-Fi 802.11 b/g/n| hotspot,4.0| A2DP,Yes,,FM radio,,Accelerometer| proximity,,Silver| Grey,,http://cdn2.gsmarena.com/vv/bigpic/celkon-q40.jpg
Mitac,MIO A501,GSM,GSM 850 / 900 / 1800 / 1900 ,,,,Class 10,Class 10,2007  4Q,Cancelled,95.7 x 59.6 x 20.7 mm| 118 cc (3.77 x 2.35 x 0.81 in),135,4.76,Mini-SIM,,2.7 inches (~39.6% screen-to-body ratio),240 x 320 pixels (~148 ppi pixel density),Windows Mobile 5 AKU3.3,200 MHz ARM926EJ-S,TI OMAP 850,,SD/MMC  SDIO,256 MB,64 MB RAM,2 MP| LED flash,No,Yes,,No,,Yes SiRF Star III chipset,,No,1.1,,Removable Li-Ion 1050 mAh battery,Gray,210.0,http://cdn2.gsmarena.com/vv/bigpic/mio-a501.gif
Motorola,V1050,GSM / UMTS,GSM 900 / 1800 / 1900 ,UMTS 2100 ,,Yes  384 kbps,Class 10,No,2005  1Q,Discontinued,,136,4.8,Mini-SIM,TFT  256K colors,2.2 inches| 33 x 45 mm (~32.5% screen-to-body ratio),240 x 320 pixels (~182 ppi pixel density),,,,,,16 MB,,1.3 MP| LED flash,CIF videocall camera,Yes,No,No,No,No,,No,Yes,,Removable Li-Ion 820 mAh battery,,,http://cdn2.gsmarena.com/vv/bigpic/motorola-v1050.gif
Nokia,6310i,GSM,GSM 900 / 1800 / 1900 ,,,,Class 4,No,2002,Discontinued,129 x 47 x 17-21 mm| 97 cc,111,3.92,Mini-SIM,Backlit full graphics,,96 x 60 pixels| 6 lines,,,,,No,,,,,No,No,No,1.1,No,,No,,,Removable Li-Ion 1050 mAh battery (BLS-2N),3 - Jet Black| Mistral Beige| Lightning Silver,,http://cdn2.gsmarena.com/vv/bigpic/no6310i.gif
Philips,E102,GSM,GSM 900 / 1800 ,,,,Class 10,No,2009  August. Released 2010  February,Discontinued,108 x 47 x 12.7 mm (4.25 x 1.85 x 0.5 in),68.8,2.4,Mini-SIM,CSTN  65K colors,1.4 inches (~12.5% screen-to-body ratio),,,,,,No,,,,,Yes,No,No,,No,,,Yes,,Removable Li-Ion 650 mAh battery,Black,,http://cdn2.gsmarena.com/vv/bigpic/philips-e102.jpg
,655,GSM,GSM 900 / 1800 / 1900 ,,,,Class 10,No,2004  3Q,Discontinued,85 x 45 x 24 mm| 75 cc (3.35 x 1.77 x 0.94 in),85,3,,,,128 x 160 pixels|  7 lines,,,,,No,6 MB,,VGA,No,Yes,No,No,No,No,,No,,,Removable Li-Ion 600 mAh battery,3 - Silver Ball| Black Sphere| Red Ballon,,http://cdn2.gsmarena.com/vv/bigpic/philips-655.gif
,Stream,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 1900 / 2100 ,,HSPA 7.2/2 Mbps,Class 10,Class 10,2010  May. Released 2010  August,Discontinued,119.5 x 63 x 11.2 mm (4.70 x 2.48 x 0.44 in),140,4.94,,,3.7 inches (~51.8% screen-to-body ratio),480 x 800 pixels (~252 ppi pixel density),Android 2.1 (Eclair),1.0 GHz Scorpion,Qualcomm QSD8250 Snapdragon S1,Adreno 200,microSD  up to 32 GB (dedicated slot)  8 GB included,2 GB,512 MB RAM,5 MP| autofocus| ,No,Yes,,Wi-Fi 802.11 b/g/n| DLNA & UPnP technology,2.1| A2DP,,,Stereo FM radio| RDS,microUSB 2.0,Accelerometer| proximity| compass,Removable Li-Ion 1400 mAh battery,Black,130.0,http://cdn2.gsmarena.com/vv/bigpic/acer-liquid-stream-ofic.jpg
,Mustang,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 1900 ,,HSPA 1.8 Mbps,,Class 10,2007  October. Released 2007  October,Discontinued,102 x 50 x 19.9 mm (4.02 x 1.97 x 0.78 in),110,3.88,Mini-SIM,TFT  256K colors,2.2 inches (~29.4% screen-to-body ratio),,Windows Mobile 6 Standard,,,,microSD (dedicated slot),,64 MB RAM,1.3 MP,No,Yes,Yes,No,1.2| A2DP,No,,No,1.1,,Removable Li-Po 1320 mAh battery,Black,,http://cdn2.gsmarena.com/vv/bigpic/att-mustang.jpg
XOLO,Q1010i,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 900 / 2100 ,,HSPA 21.1/5.76 Mbps,,Yes,,Available. Released 2014  March,143.6 x 72.2 x 8.3 mm (5.65 x 2.84 x 0.33 in),,,Dual SIM,IPS LCD capacitive touchscreen  16M colors,5.0 inches (~66.5% screen-to-body ratio),720 x 1280 pixels (~294 ppi pixel density),,Quad-core 1.3 GHz Cortex-A7,Mediatek MT6582,Mali-400MP2,microSD  up to 32 GB,8 GB,,8 MP| autofocus| LED flash,2 MP,Yes,Yes,Wi-Fi 802.11 b/g/n| hotspot,4.0| A2DP,Yes with A-GPS,,FM radio,microUSB 2.0,Accelerometer| proximity,Non-removable Li-Ion 2250 mAh battery,Black| White,160.0,http://cdn2.gsmarena.com/vv/bigpic/xolo-q1010i.jpg
Posh,Titan Max HD E550,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 1700(AWS) / 1900 / 2100 - E550A,,HSPA 21.1/5.76 Mbps,Yes,,2015  July,Available. Released 2015  July,151 x 78 x 7.9 mm (5.94 x 3.07 x 0.31 in),140,4.94,Dual SIM (Mini-SIM/ Micro-SIM| dual stand-by),IPS LCD capacitive touchscreen  16M colors,5.5 inches (~70.8% screen-to-body ratio),720 x 1280 pixels (~267 ppi pixel density),,,Mediatek MT6592M,Mali-450MP4,microSD  up to 64 GB,8 GB,1 GB RAM,13 MP| autofocus| dual-LED flash,5 MP| LED flash,,Yes,Wi-Fi 802.11 b/g/n| Wi-Fi Direct| DLNA| hotspot,4.0| A2DP| EDR,Yes with A-GPS,,FM radio,microUSB 2.0,Accelerometer| proximity| compass,Li-Po 2400 mAh battery,Black| White| Gold,,http://cdn2.gsmarena.com/vv/bigpic/posh-e550-.jpg
Xiaomi,Redmi 2 Prime,GSM / HSPA / LTE,GSM 900 / 1800 - SIM 1 & SIM 2,HSDPA 900 / 2100 ,LTE band 3(1800)| 40(2300),,Yes,Yes,2015  August,Available. Released 2015  August,134 x 67 x 9 mm (5.28 x 2.64 x 0.35 in),133,4.69,Dual SIM (Micro-SIM| dual stand-by),IPS LCD capacitive touchscreen  16M colors,4.7 inches (~67.8% screen-to-body ratio),720 x 1280 pixels (~312 ppi pixel density),Android 4.4.4 (KitKat)| upgradable to 5.1.1 (Lollipop),Quad-core 1.2 GHz Cortex-A53,Qualcomm MSM8916 Snapdragon 410,Adreno 306,microSD  up to 32 GB (dedicated slot),16 GB,2 GB RAM,,2 MP| 720p,Yes,,Wi-Fi 802.11 b/g/n| Wi-Fi Direct| hotspot,4.0| A2DP| LE,Yes with A-GPS GLONASS BDS,,Stereo FM radio,microUSB 2.0| USB Host,,Removable Li-Po 2200 mAh battery,White| Dark gray,120.0,http://cdn2.gsmarena.com/vv/bigpic/xiaomi-redmi-2-prime-.jpg
Yezz,Andy 3.5EI,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 900 / 2100 - SIM 1 or SIM 2,,HSPA 21.1/5.76 Mbps,Class 12,Class 12,2014  May,Available. Released 2014  July,115.5 x 62 x 12.5 mm (4.55 x 2.44 x 0.49 in),115,4.06,Dual SIM (Mini-SIM),,3.5 inches (~50.9% screen-to-body ratio),320 x 480 pixels (~165 ppi pixel density),Android 4.4.2 (KitKat),Dual-core 1.0 GHz Cortex-A7,Mediatek MT6572,Mali-400,microSD  up to 64 GB,4 GB,512 MB RAM,5 MP| autofocus| LED flash,1.3 MP,Yes,Yes,,3.0| A2DP,Yes with A-GPS,,Stereo FM radio,microUSB 2.0,,Removable Li-Ion 1300 mAh battery,Black| White| Blue| Green| Orange,,http://cdn2.gsmarena.com/vv/bigpic/yezz-andy-35ei.jpg
Orange,Dallas,GSM,GSM 900 / 1800 ,,,,Yes,No,2011,,109 x 46 x 12.4 mm (4.29 x 1.81 x 0.49 in),80,2.82,Mini-SIM,TFT,2.4 inches (~35.6% screen-to-body ratio),240 x 320 pixels (~167 ppi pixel density),,,,,microSD  up to 8 GB (dedicated slot),,,VGA,No,,,No,Yes,No,,FM radio,Yes,,Removable Li-Ion battery,Black,,
i-mate,Ultimate 9502,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 1900 / 2100 ,,HSPA,,Class 12,2007  October. Released 2008  March,Discontinued,116 x 60 x 17.8 mm (4.57 x 2.36 x 0.70 in),200,7.05,Mini-SIM,TFT resistive touchscreen  256K colors (65K effective),2.8 inches (~34.9% screen-to-body ratio),640 x 480 pixels (~286 ppi pixel density),,400 MHz ARM 11,Qualcomm MSM7200,Adreno 130,microSD (dedicated slot),256 MB ROM,,3.15 MP| autofocus| LED flash,,Yes,No,Wi-Fi 802.11 b/g,,Yes,,No,Yes,,Removable Li-Po 1620 mAh battery,Black,410.0,http://cdn2.gsmarena.com/vv/bigpic/ultimate-9502.gif
Microsoft,Lumia 640 Dual SIM,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 1900 / 2100 ,,HSPA 42.2/5.76 Mbps,Yes,Yes,2015  March,Available. Released 2015  April,141.3 x 72.2 x 8.8 mm (5.56 x 2.84 x 0.35 in),145,5.11,Dual SIM (Micro-SIM| dual stand-by),IPS LCD capacitive touchscreen  16M colors,5.0 inches (~67.6% screen-to-body ratio),,Microsoft Windows Phone 8.1| upgradable to Microsoft Windows 10,Quad-core 1.2 GHz Cortex-A7,Qualcomm MSM8926 Snapdragon 400,Adreno 305,microSD  up to 256 GB (dedicated slot),8 GB,1 GB RAM,8 MP| f/2.2| 28mm| autofocus| LED flash,1 MP| 720p,Yes,Yes,Wi-Fi 802.11 b/g/n| DLNA| hotspot,4.0| A2DP,Yes with A-GPS GLONASS BDS,,,microUSB 2.0,Accelerometer| proximity| compass,Removable Li-Ion 2500 mAh battery,,170.0,
Huawei,Honor 3X G750,,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 900 / 2100 - SIM 1 & SIM 2,,HSPA 21.1/5.76 Mbps,,Yes,,Available. Released 2013  December,149.5 x 77.4 x 8.9 mm (5.89 x 3.05 x 0.35 in),162,5.71,Dual SIM (Mini-SIM| Micro-SIM| dual stand-by),IPS LCD capacitive touchscreen  16M colors,,720 x 1280 pixels (~267 ppi pixel density),Android 4.2.2 (Jelly Bean),Octa-core 1.7 GHz Cortex-A7,Mediatek MT6592,Mali-450MP4,microSD  up to 64 GB (dedicated slot),8/16 GB,2 GB RAM,13 MP| autofocus| LED flash,5 MP,Yes,Yes,Yes,4.0| A2DP,Yes with A-GPS,,FM radio,microUSB 2.0,Accelerometer| gyro| proximity| compass,Removable Li-Po 3000 mAh battery,Black| White,250.0,http://cdn2.gsmarena.com/vv/bigpic/huawei-honor-3x.jpg
Spice,Smart Flo 503 (Mi-503),GSM,GSM 900 / 1800 - SIM 1 & SIM 2,,,,Class 12,Class 12,2014  August,Available. Released 2014  August,150.4 x 74.8 x 9.8 mm (5.92 x 2.94 x 0.39 in),180,6.35,Dual SIM (Mini-SIM/ Micro-SIM),IPS LCD capacitive touchscreen  256K colors,5.0 inches (~61.2% screen-to-body ratio),480 x 854 pixels (~196 ppi pixel density),Android 4.4.2 (KitKat),Dual-core 1.3 GHz Cortex-A7,Mediatek MT6571,Mali-400,microSD  up to 32 GB,4 GB,512 MB RAM,8 MP| autofocus| LED flash,2 MP,Yes,Yes,,4.0| A2DP| EDR,Yes with A-GPS,,FM radio,microUSB 2.0,Accelerometer| proximity,Li-Ion 2000 mAh battery,White| Gray,,http://cdn2.gsmarena.com/vv/bigpic/spice-503.jpg
Panasonic,G51,GSM,GSM 900 / 1800 / 1900 ,,,,,No,2003  4Q,,80 x 43 x 18 mm| 66 cc (3.15 x 1.69 x 0.71 in),74,2.61,Mini-SIM,CSTN  4096 colors,,,,,,,No,,,,,Yes,No,No,No,No,,No,,,Removable Li-Ion 780 mAh battery,Silver| Red| Blue (G51e:Pink|Gold. G51m:Blue|Silver),,
verykool,R80,GSM,GSM 850 / 900 / 1800 / 1900 - SIM 1,,,,Class 12,No,2011,,118 x 53 x 15.8 mm (4.65 x 2.09 x 0.62 in),,4.02,Dual SIM (Mini-SIM),TFT,2.4 inches (~28.5% screen-to-body ratio),240 x 320 pixels (~167 ppi pixel density),,,,,microSD  up to 32 GB (dedicated slot),30 MB,,2 MP,No,Yes,Yes,No,2,Yes,,FM radio,Yes,Compass| barometer| thermometer| altimeter| UV detector,Removable Li-Ion battery,Black,,http://cdn2.gsmarena.com/vv/bigpic/verykool-r80.jpg
Samsung,T700,GSM,GSM 900 / 1800 ,,,,No,No,,Cancelled,73 x 53 x 23 mm (2.87 x 2.09 x 0.91 in),76,2.68,Mini-SIM,TFT  65K colors,,128 x 128 pixels,,,,,No,,,,,No,No,No,No,No,,No,,,Removable Li-Ion battery,,,http://cdn2.gsmarena.com/vv/bigpic/sst700.gif
Nokia,6630,,GSM 900 / 1800 / 1900 ,UMTS 2100 ,,,Class 10,Yes,2004  2Q,Discontinued,110 x 60 x 21 mm (4.33 x 2.36 x 0.83 in),127,4.48,Mini-SIM,TFT  65k colors,2.1 inches| 35 x 41 mm (~21.3% screen-to-body ratio),176 x 208 pixels (~130 ppi pixel density),Symbian 8.0| Series 60 v2.0 UI,220 MHz ARM926EJ-S,TI OMAP 1710,,RS-DV-MMC  64 MB included,,,1.3 MP,No,Yes,No,No,1.2,No,,No,Pop-Port,,Removable Li-Ion 900 mAh battery (BL-5C),Light Gray,,http://cdn2.gsmarena.com/vv/bigpic/no6630.gif
Nokia,1616,GSM,GSM 900 / 1800 ,,,,No,No,,Discontinued,,78.5,2.75,Mini-SIM,TFT  65K colors,,128 x 160 pixels (~114 ppi pixel density),,,,,No,,,,,Yes,Yes,No,No,No,,,,,Removable Li-Ion 800 mAh battery (BL-5CB),Black| Dark Blue| Dark Gray| Dark Red,20.0,http://cdn2.gsmarena.com/vv/bigpic/nokia-1616.jpg
Samsung,Galaxy Pocket 2,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2 (dual-SIM model only),,,HSPA 21.1/5.76 Mbps,Yes,Yes,2014  September,Available. Released 2014  September,109.9 x 60.8 x 11.7 mm (4.33 x 2.39 x 0.46 in),107,3.77,Single SIM (Micro-SIM) or Dual SIM (Micro-SIM| dual stand-by),TFT capacitive touchscreen  256K colors,3.3 inches (~50.5% screen-to-body ratio),240 x 320 pixels (~121 ppi pixel density),,1.0 GHz Cortex-A7,Spreadtrum SC7715,Mali-400,microSD  up to 32 GB (dedicated slot),,512 MB RAM,2 MP,No,,Yes,Wi-Fi 802.11 b/g/n| Wi-Fi Direct| hotspot,4.0| A2DP,Yes with A-GPS GLONASS,,FM radio| RDS| recording,microUSB 2.0,,Removable Li-Ion 1200 mAh battery,White,100.0,http://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-pocket-2.jpg
BLU,Studio C Mini,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 1900 / 1700 - D670U,,HSPA 21.1/5.76 Mbps,Class 12,Class 12,2014  August,Available. Released 2014  August,138 x 71.5 x 9.5 mm (5.43 x 2.81 x 0.37 in),156,5.5,Dual SIM (Mini-SIM/ Micro-SIM),IPS LCD capacitive touchscreen  16M colors,4.7 inches (~63.7% screen-to-body ratio),480 x 800 pixels (~199 ppi pixel density),Android 4.4.2 (KitKat),Quad-core 1.3 GHz Cortex-A7,Mediatek MT6582,Mali-400MP2,microSD  up to 64 GB,4 GB,512 MB RAM,5 MP| autofocus| LED flash,2 MP,Yes,Yes,Wi-Fi 802.11 b/g/n| Wi-Fi Direct| hotspot,,Yes with A-GPS,,Stereo FM radio,microUSB 2.0,Accelerometer| proximity,Removable Li-Ion 2000 mAh battery,Black| Blue| Orange| Pink| White| Yellow,,http://cdn2.gsmarena.com/vv/bigpic/blu-studio-c-mini-new.jpg
Samsung,Z330,GSM / UMTS,GSM 900 / 1800 / 1900 ,UMTS 2100 ,,Yes  384 kbps,Class 10,Yes,2006  February,Cancelled,91 x 46 x 21 mm (3.58 x 1.81 x 0.83 in),85,3,Mini-SIM,TFT  256K colors,,176 x 220 pixels| 1.9 inch,,,,,No,140 MB,,1.3 MP,Yes,Yes with stereo speakers,No,No,Yes,,,No,Yes,,Removable Li-Ion battery,Silver,,
Philips,W635,GSM / HSPA,GSM 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 2100 ,,HSPA 7.2/0.384 Mbps,,Yes,,Available. Released 2012  April,124 x 64.5 x 11.5 mm (4.88 x 2.54 x 0.45 in),,5.54,Dual SIM (Mini-SIM),TFT capacitive touchscreen,,480 x 800 pixels (~233 ppi pixel density),Android 2.3 (Gingerbread), Cortex-A5,Qualcomm MSM7227A Snapdragon S1,Adreno 200,microSD  up to 32 GB (dedicated slot),512 MB,,5 MP| autofocus,No,Yes,Yes,Wi-Fi 802.11 b/g| hotspot,2.0| A2DP,Yes with A-GPS,,No,2,,Removable Li-Ion 1630 mAh battery,Gray,460.0,http://cdn2.gsmarena.com/vv/bigpic/philips-w635.jpg
,Pearl 8130,CDMA / CDMA2000,CDMA 800 / 1900 ,,,EV-DO Rev.0  153.2 Kbps,No,No,2007  October. Released 20078,Discontinued,107 x 50 x 14 mm (4.21 x 1.97 x 0.55 in),96,3.39,Mini-SIM,TFT  65K colors,2.2 inches (~29.1% screen-to-body ratio),240 x 260 pixels (~161 ppi pixel density),BlackBerry OS,,,,microSD  up to 4 GB (dedicated slot),64 MB ROM,32 MB RAM,2 MP| LED flash,No,Yes,Yes,No,2.0| A2DP,Yes with A-GPS,,No,miniUSB 2.0,,Removable Li-Ion 900 mAh battery,Black| White,,http://cdn2.gsmarena.com/vv/bigpic/blackberry-pearl-8130.jpg
Micromax,A47 Bolt,GSM,GSM 900 / 1800 - SIM 1 & SIM 2,,,,Yes,Yes,2014,Available. Released 2014,125.3 x 65.5 x 12.3 mm (4.93 x 2.58 x 0.48 in),,,Dual SIM,IPS LCD capacitive touchscreen  16M colors,4.0 inches (~55.5% screen-to-body ratio),480 x 800 pixels (~233 ppi pixel density),Android 4.2 (Jelly Bean),Quad-core 1.3 GHz Cortex-A7,Mediatek MT6582,,microSD  up to 32 GB,,256 MB RAM,2 MP| LED flash,VGA,,Yes,,4.0| A2DP,No,,FM radio,microUSB 2.0,,,Black| White,50.0,
Motorola,,GSM,GSM 900 / 1800 ,,,,No,No,Sep-02,Discontinued,106 x 40 x 16 mm| 66 cc (4.17 x 1.57 x 0.63 in),99,3.49,Mini-SIM,Monochrome graphic,,98 x 64 pixels| 5 lines|,,,,,No,,,,,No,No,No,No,No,,No,,,Removable NiMH 550 mAh battery,Silver,,http://cdn2.gsmarena.com/vv/bigpic/mot190.gif
O2,XDA Star,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 2100 ,,HSPA 3.6/0.384 Mbps,Class 10,Yes,2007  October,Cancelled,,120,4.23,Mini-SIM,TFT resistive touchscreen  65K colors,2.6 inches (~35.6% screen-to-body ratio),240 x 320 pixels (~154 ppi pixel density),Microsoft Windows Mobile 6.0 Professional,400 MHz ARM 11,Qualcomm MSM7200,Adreno 130,microSD,128 MB ROM,96 MB RAM,2 MP,CIF videocall camera,Yes,No,No,2,No,,No,miniUSB,,Removable Li-Ion 1120 mAh battery,Black,,http://cdn2.gsmarena.com/vv/bigpic/o2-xda-star.gif
,SG-2000,GSM,GSM 900 / 1800 ,,,,No,No,2002,Discontinued,68 x 39 x 22 mm (2.68 x 1.54 x 0.87 in),72,2.54,Mini-SIM,Grayscale graphics  4 shades,,128 x 128 pixels,,,,,No,,,,,No,No,No,No,No,,No,,,Removable Li-Ion 700 mAh battery,Pearl White| Prime Gray Blue| Metallic Silver| Oriental Gold,,http://cdn2.gsmarena.com/vv/bigpic/sw2000.gif
Sony,SmartWatch 3 SWR50,No cellular connectivity, N/A,,,,,No,2014  February,Available. Released 2014  October,51 x 36 x 10 mm (2.01 x 1.42 x 0.39 in),76,38,No,TFT capacitive touchscreen  65K colors,1.6 inches (~45.0% screen-to-body ratio),320 x 320 pixels (~283 ppi pixel density),Android Wear OS,Quad-core 1.2 GHz Cortex-A7,,,No,,512 MB RAM,,,Yes,No,Wi-Fi 802.11 b/g,4.0| A2DP,Yes,Yes,No,microUSB,Accelerometer| gyro| compass,Non-removable Li-Po 420 mAh battery,Leather Brown| Leather Black| Silver| Black| Yellow,160.0,
