restaurant_name,cuisine,area,rating,cost_for_two,online_order,book_table,votes,phone,address
Noodle Bar,American,Brigade Road,3.1,2000,No,Yes,2575,5496285148,52 HSR Layout Bangalore
Ice Cream Parlor,American,Marathahalli,4.1,500,Yes,Yes,2285,5867121474,98 JP Nagar Bangalore
Seafood Shack,Continental,Marathahalli,4.5,500,No,Yes,4936,8746583786,58 Whitefield Bangalore
Pizza Express,Japanese,MG Road,3.4,1000,Yes,Yes,4079,6527274927,56 Marathahalli Bangalore
Sushi House,Indian,Indiranagar,4.5,500,No,No,1727,429432640,67 BTM Layout Bangalore
BBQ Junction,Japanese,Koramangala,4.7,1000,Yes,No,4773,362298917,85 MG Road Bangalore
Thai Paradise,Chinese,BTM Layout,3.4,1000,No,No,677,715585950,45 Marathahalli Bangalore
Italian Bistro,Mexican,HSR Layout,3.6,2000,Yes,Yes,3156,8679566453,93 Koramangala Bangalore
Sushi House,American,HSR Layout,3.3,2000,No,Yes,434,1561196822,32 Marathahalli Bangalore
Mediterranean Delight,Korean,Indiranagar,4.4,500,No,Yes,2107,503180260,10 JP Nagar Bangalore
Thai Paradise,Thai,Electronic City,3.7,500,Yes,No,4668,2397665780,85 MG Road Bangalore
BBQ Junction,Thai,MG Road,3.5,300,No,Yes,4722,4077608350,21 JP Nagar Bangalore
Taco Bell,Japanese,Koramangala,3.3,300,No,No,2855,6196220673,96 Whitefield Bangalore
Coffee Corner,Japanese,HSR Layout,3.3,700,Yes,Yes,1744,5922353161,40 Marathahalli Bangalore
Mediterranean Delight,Japanese,HSR Layout,4.8,700,Yes,Yes,714,2229453906,36 MG Road Bangalore
Ice Cream Parlor,Indian,Whitefield,5.0,300,No,No,2901,5440061375,6 BTM Layout Bangalore
Mexican Fiesta,French,Brigade Road,3.2,500,Yes,No,503,6945584313,69 Brigade Road Bangalore
Mexican Fiesta,Korean,Brigade Road,4.8,2000,No,No,694,9201699510,15 Koramangala Bangalore
Steak House,Indian,BTM Layout,4.5,1000,Yes,Yes,4216,9781356336,61 Brigade Road Bangalore
Fried Chicken Co,American,Koramangala,4.2,1000,No,Yes,1971,2309104039,46 Marathahalli Bangalore
Steak House,Korean,Marathahalli,4.9,500,Yes,No,4516,4521209334,54 MG Road Bangalore
Vegan Heaven,French,Brigade Road,3.1,500,Yes,No,4136,3961681755,56 Whitefield Bangalore
Mediterranean Delight,Italian,BTM Layout,4.2,2000,No,No,1073,4497317797,39 JP Nagar Bangalore
Bakery Sweet,Thai,Whitefield,4.1,1000,No,Yes,2904,3155505194,78 Electronic City Bangalore
Bakery Sweet,Fast Food,Indiranagar,4.1,300,Yes,No,1897,1649458344,43 Koramangala Bangalore
Burger Palace,Japanese,Whitefield,4.5,1000,No,No,3305,7120713112,12 Electronic City Bangalore
Taco Bell,Thai,HSR Layout,4.0,1500,Yes,No,3171,1391827663,94 JP Nagar Bangalore
Steak House,Mediterranean,HSR Layout,4.8,500,Yes,No,4565,912143666,56 Indiranagar Bangalore
BBQ Junction,Chinese,Indiranagar,4.8,2000,Yes,Yes,130,6502480980,45 HSR Layout Bangalore
Spice Garden,Mexican,Indiranagar,4.7,500,Yes,Yes,2698,1815380092,32 HSR Layout Bangalore
Steak House,Continental,Marathahalli,4.5,500,Yes,Yes,2717,7132763541,44 MG Road Bangalore
Mediterranean Delight,Japanese,Marathahalli,4.5,300,No,Yes,3522,2763953256,31 Electronic City Bangalore
Vegan Heaven,Chinese,HSR Layout,5.0,700,Yes,Yes,625,4792832835,38 MG Road Bangalore
Spice Garden,Korean,HSR Layout,3.1,1500,Yes,Yes,4630,7594232499,82 Brigade Road Bangalore
Coffee Corner,Indian,Whitefield,3.4,1500,Yes,Yes,2700,5162850202,29 Marathahalli Bangalore
Burger Palace,American,Indiranagar,3.7,2000,Yes,No,131,9667746135,7 JP Nagar Bangalore
Curry House,Japanese,Whitefield,4.5,700,No,No,1573,6722155081,75 HSR Layout Bangalore
Curry House,Thai,Electronic City,4.9,2000,No,No,4115,7049124941,74 BTM Layout Bangalore
Golden Dragon,Chinese,MG Road,4.0,1500,Yes,Yes,2439,3994050187,70 JP Nagar Bangalore
Steak House,Fast Food,Electronic City,3.7,2000,Yes,No,1213,5673680246,36 Electronic City Bangalore
Taco Bell,Continental,Whitefield,3.7,700,Yes,Yes,4265,9568701124,27 HSR Layout Bangalore
Steak House,Fast Food,Whitefield,3.3,1500,No,No,1677,7401189638,4 JP Nagar Bangalore
Sushi House,Korean,BTM Layout,3.8,2000,Yes,Yes,3712,9234216774,66 Brigade Road Bangalore
BBQ Junction,Indian,Marathahalli,4.8,500,Yes,Yes,4514,3286116835,77 Marathahalli Bangalore
Italian Bistro,Korean,Koramangala,4.9,1000,No,Yes,1189,1066297746,85 Koramangala Bangalore
Pizza Express,American,Marathahalli,4.0,1000,Yes,No,227,2976801107,30 Electronic City Bangalore
Pizza Express,Thai,Koramangala,3.2,1000,No,Yes,598,1908430955,39 Electronic City Bangalore
Golden Dragon,Mediterranean,Electronic City,3.2,1500,Yes,Yes,183,9960509340,79 Electronic City Bangalore
Coffee Corner,Japanese,HSR Layout,3.2,700,No,Yes,3978,8363002037,55 Electronic City Bangalore
Taco Bell,Fast Food,Brigade Road,3.9,1500,Yes,Yes,2839,2818824910,16 Marathahalli Bangalore
Thai Paradise,Indian,JP Nagar,4.9,1500,No,No,4365,2653346406,65 Whitefield Bangalore
Steak House,Japanese,JP Nagar,4.7,2000,No,Yes,2365,8594981133,8 JP Nagar Bangalore
Fried Chicken Co,Japanese,Whitefield,4.6,300,No,No,2210,2918480304,9 BTM Layout Bangalore
Bakery Sweet,Chinese,Marathahalli,3.9,700,No,No,3568,4781221560,15 Koramangala Bangalore
Pizza Express,Continental,Marathahalli,3.7,300,No,No,376,7349214369,51 Koramangala Bangalore
Golden Dragon,French,JP Nagar,3.7,1000,Yes,No,4403,960892917,25 Indiranagar Bangalore
Mediterranean Delight,American,JP Nagar,4.1,2000,No,No,2280,6001386726,45 Whitefield Bangalore
Burger Palace,Italian,BTM Layout,3.9,2000,Yes,No,4421,5061699308,14 Brigade Road Bangalore
Mexican Fiesta,Mediterranean,Whitefield,4.0,1000,No,Yes,2675,861501626,54 Indiranagar Bangalore
Taco Bell,Mexican,Marathahalli,4.9,300,No,Yes,1352,2203675647,17 JP Nagar Bangalore
Mexican Fiesta,Mexican,MG Road,3.7,1500,Yes,Yes,3604,8247469211,52 Indiranagar Bangalore
Thai Paradise,Mexican,Indiranagar,4.1,1000,No,Yes,4091,9766614019,15 Indiranagar Bangalore
Fried Chicken Co,Japanese,Whitefield,4.6,2000,Yes,No,3933,2405954831,60 BTM Layout Bangalore
Vegan Heaven,Thai,JP Nagar,3.3,500,No,Yes,881,2816822208,42 Brigade Road Bangalore
Italian Bistro,Continental,HSR Layout,4.4,1500,No,No,3464,2667062891,80 Brigade Road Bangalore
Seafood Shack,Fast Food,JP Nagar,4.0,1500,Yes,No,4483,9955187633,65 HSR Layout Bangalore
Coffee Corner,Fast Food,Brigade Road,4.6,2000,Yes,No,1275,289612131,12 Marathahalli Bangalore
Sushi House,Fast Food,Marathahalli,4.1,500,No,No,291,5349636542,35 Indiranagar Bangalore
Italian Bistro,Mediterranean,Marathahalli,4.5,300,Yes,Yes,4335,9646660755,98 BTM Layout Bangalore
Noodle Bar,Chinese,Koramangala,4.4,1000,Yes,No,2353,8864502094,3 Electronic City Bangalore
Curry House,Italian,Marathahalli,4.5,1000,Yes,No,4605,3112666286,78 Brigade Road Bangalore
Golden Dragon,French,HSR Layout,4.8,700,Yes,No,2454,5507736804,75 HSR Layout Bangalore
Seafood Shack,Mexican,Koramangala,4.2,2000,Yes,No,1290,3779454582,15 MG Road Bangalore
Taco Bell,Thai,Marathahalli,4.4,1500,No,Yes,3472,3052267690,41 Indiranagar Bangalore
Steak House,Chinese,Brigade Road,4.8,700,No,No,3723,921665932,35 MG Road Bangalore
BBQ Junction,American,Whitefield,3.9,2000,No,No,3507,8668446595,90 HSR Layout Bangalore
Pizza Express,Thai,JP Nagar,4.8,1500,Yes,No,2382,7983084514,15 MG Road Bangalore
Spice Garden,Fast Food,Brigade Road,3.9,300,No,Yes,4860,9729311190,10 MG Road Bangalore
Golden Dragon,American,Indiranagar,4.9,300,Yes,Yes,458,3213190454,18 BTM Layout Bangalore
Sushi House,French,BTM Layout,3.3,1000,Yes,No,1900,2421574149,21 Whitefield Bangalore
Burger Palace,Fast Food,BTM Layout,3.4,700,No,No,3312,6819783794,1 BTM Layout Bangalore
Mexican Fiesta,Chinese,Koramangala,4.2,300,No,No,994,4213893894,31 Marathahalli Bangalore
Curry House,French,Marathahalli,4.8,700,Yes,Yes,2601,67724684,11 Koramangala Bangalore
Steak House,French,Koramangala,3.1,700,No,No,4306,6799466529,78 MG Road Bangalore
Vegan Heaven,American,MG Road,3.5,1000,No,Yes,4843,8042760840,52 JP Nagar Bangalore
Taco Bell,Mexican,Whitefield,3.6,700,Yes,Yes,1148,4259097931,30 Electronic City Bangalore
Mexican Fiesta,Chinese,Whitefield,3.4,2000,No,No,1442,3930931111,56 Koramangala Bangalore
Seafood Shack,Fast Food,Whitefield,4.7,1500,Yes,No,520,7618611448,7 Indiranagar Bangalore
Fried Chicken Co,Fast Food,Koramangala,4.9,2000,No,Yes,1811,2023255444,72 Brigade Road Bangalore
Taco Bell,Chinese,Brigade Road,4.7,700,Yes,No,110,2851141075,35 Whitefield Bangalore
Seafood Shack,Mediterranean,Koramangala,4.1,700,Yes,No,427,8318850196,66 Whitefield Bangalore
Steak House,Fast Food,JP Nagar,4.6,700,Yes,Yes,2402,1255990287,11 Indiranagar Bangalore
Sushi House,Mexican,HSR Layout,4.4,2000,Yes,No,1911,6887143054,58 Indiranagar Bangalore
Noodle Bar,French,Electronic City,4.9,1000,No,No,1804,7227229119,50 JP Nagar Bangalore
Golden Dragon,Mediterranean,MG Road,3.7,2000,No,Yes,154,8289295996,28 JP Nagar Bangalore
BBQ Junction,Chinese,Whitefield,3.6,500,No,No,642,8546539852,89 Electronic City Bangalore
Fried Chicken Co,American,Koramangala,3.1,700,No,No,1617,1842552671,96 Brigade Road Bangalore
Pizza Express,American,Koramangala,4.5,1500,No,No,1642,2276191720,56 JP Nagar Bangalore
Mexican Fiesta,Japanese,Koramangala,4.3,500,No,No,576,540621982,63 MG Road Bangalore
Italian Bistro,French,HSR Layout,4.5,1500,Yes,No,4238,9646699671,89 JP Nagar Bangalore
Coffee Corner,American,Whitefield,4.5,1500,Yes,Yes,2573,753803963,29 Whitefield Bangalore
Seafood Shack,Fast Food,Whitefield,4.0,1000,Yes,Yes,3674,5901256786,99 Whitefield Bangalore
Pizza Express,French,JP Nagar,4.1,300,No,No,715,1327445539,92 BTM Layout Bangalore
Steak House,Continental,Electronic City,4.1,2000,Yes,Yes,2351,2112124996,98 Indiranagar Bangalore
Fried Chicken Co,American,Electronic City,3.8,300,Yes,Yes,353,2499404539,73 Whitefield Bangalore
Coffee Corner,Mexican,Marathahalli,4.1,500,No,No,3263,6941282177,19 HSR Layout Bangalore
Mediterranean Delight,Continental,HSR Layout,4.7,500,Yes,Yes,1158,9803785757,74 Marathahalli Bangalore
Vegan Heaven,Korean,MG Road,3.8,2000,No,Yes,2031,696646855,41 MG Road Bangalore
Burger Palace,French,Koramangala,4.3,500,No,No,3977,3962918853,63 Koramangala Bangalore
Taco Bell,Chinese,Indiranagar,3.8,2000,No,Yes,612,7349212597,10 JP Nagar Bangalore
Vegan Heaven,Thai,JP Nagar,3.7,700,No,No,2255,9185634037,78 MG Road Bangalore
Vegan Heaven,Japanese,Koramangala,3.0,700,No,Yes,4660,5037359402,70 Electronic City Bangalore
Italian Bistro,Thai,Brigade Road,4.8,1500,No,No,816,6297182564,16 BTM Layout Bangalore
Bakery Sweet,Continental,JP Nagar,4.3,2000,Yes,Yes,4716,5008800446,69 JP Nagar Bangalore
Vegan Heaven,Continental,Electronic City,4.4,500,No,No,4459,6514217137,81 Indiranagar Bangalore
Bakery Sweet,Thai,Indiranagar,3.3,500,No,No,3872,4157962576,99 JP Nagar Bangalore
Pizza Express,Thai,Electronic City,4.1,2000,Yes,Yes,1607,582990551,35 HSR Layout Bangalore
Pizza Express,Continental,BTM Layout,4.0,300,Yes,Yes,3935,2288419435,81 BTM Layout Bangalore
Spice Garden,Mexican,Whitefield,3.0,500,Yes,No,4355,5402411360,15 MG Road Bangalore
Thai Paradise,Mexican,Whitefield,4.6,2000,Yes,Yes,2365,631769166,25 JP Nagar Bangalore
Taco Bell,Japanese,HSR Layout,3.4,1000,No,Yes,3259,4262797581,27 Indiranagar Bangalore
Noodle Bar,Thai,Whitefield,3.6,1500,Yes,Yes,2319,2849271787,86 JP Nagar Bangalore
Vegan Heaven,Korean,MG Road,4.8,1500,No,No,2932,1023431115,84 HSR Layout Bangalore
Noodle Bar,Continental,Koramangala,3.3,2000,No,No,3978,2108623234,66 BTM Layout Bangalore
Mexican Fiesta,Korean,Electronic City,3.4,1500,No,Yes,3430,4563485733,58 Electronic City Bangalore
Steak House,Indian,Marathahalli,4.2,2000,No,No,3422,6834432641,33 MG Road Bangalore
Mediterranean Delight,Thai,Whitefield,3.7,2000,No,Yes,1206,6031069314,52 Marathahalli Bangalore
Coffee Corner,Mexican,MG Road,3.5,2000,No,Yes,2646,1850079962,72 Indiranagar Bangalore
Burger Palace,Indian,Koramangala,3.3,300,No,Yes,399,1401288641,60 JP Nagar Bangalore
Italian Bistro,Korean,Whitefield,4.7,2000,Yes,No,4264,5981292421,65 HSR Layout Bangalore
Fried Chicken Co,Indian,Whitefield,3.1,300,Yes,No,1240,9406377602,1 Brigade Road Bangalore
Mexican Fiesta,Fast Food,Whitefield,4.9,500,Yes,No,3882,7522421338,97 HSR Layout Bangalore
Fried Chicken Co,American,JP Nagar,3.3,1500,Yes,Yes,853,7507314119,53 Whitefield Bangalore
Thai Paradise,Continental,Indiranagar,3.4,1000,No,No,4321,3589624842,22 Marathahalli Bangalore
Coffee Corner,Mediterranean,MG Road,4.6,1000,No,No,1611,2492805604,34 Indiranagar Bangalore
Italian Bistro,French,HSR Layout,3.3,700,No,Yes,4675,640336599,30 Whitefield Bangalore
Ice Cream Parlor,Japanese,Indiranagar,4.2,500,No,Yes,3389,4332234979,9 Koramangala Bangalore
Spice Garden,Continental,MG Road,4.0,1500,Yes,No,4923,1009892694,84 Indiranagar Bangalore
BBQ Junction,French,Marathahalli,3.4,1000,No,No,2871,8902549891,5 BTM Layout Bangalore
Italian Bistro,Japanese,Koramangala,4.2,2000,No,Yes,1849,5298714607,53 MG Road Bangalore
Burger Palace,French,Brigade Road,4.4,500,Yes,No,4675,9961649590,18 Brigade Road Bangalore
Taco Bell,Mexican,HSR Layout,3.9,2000,No,No,1293,16307367,21 Electronic City Bangalore
Coffee Corner,Continental,Marathahalli,4.2,2000,No,Yes,1503,9352714128,67 HSR Layout Bangalore
BBQ Junction,American,Indiranagar,4.3,500,No,No,4251,5497927737,81 Whitefield Bangalore
Spice Garden,Mexican,Brigade Road,3.5,700,Yes,No,297,1918522991,10 Whitefield Bangalore
BBQ Junction,American,MG Road,4.2,700,No,Yes,3067,2121910223,38 Brigade Road Bangalore
Sushi House,Italian,Marathahalli,3.6,700,No,Yes,1157,2932200770,20 Koramangala Bangalore
BBQ Junction,Mexican,Electronic City,3.8,300,No,Yes,1546,7359013980,71 MG Road Bangalore
Fried Chicken Co,French,JP Nagar,3.1,2000,No,No,4298,9893467506,90 JP Nagar Bangalore
Burger Palace,Italian,MG Road,3.5,300,Yes,No,2404,6022510392,79 Whitefield Bangalore
Steak House,Japanese,HSR Layout,5.0,1000,No,No,4453,444743735,76 BTM Layout Bangalore
Mediterranean Delight,Mediterranean,Indiranagar,3.3,2000,Yes,No,985,4868807612,66 MG Road Bangalore
Golden Dragon,Thai,Koramangala,3.1,1000,Yes,Yes,3193,8455021638,91 MG Road Bangalore
Fried Chicken Co,Korean,Whitefield,4.9,1500,No,No,4802,8153372794,78 Marathahalli Bangalore
Coffee Corner,Korean,Koramangala,4.8,300,Yes,No,2987,9539346797,77 MG Road Bangalore
Ice Cream Parlor,Indian,Indiranagar,4.5,2000,Yes,No,3984,5085338854,80 Koramangala Bangalore
Mediterranean Delight,Mediterranean,MG Road,4.5,300,No,Yes,844,3384934688,94 Brigade Road Bangalore
Italian Bistro,Italian,JP Nagar,3.6,500,No,No,1474,8180050558,63 Whitefield Bangalore
Ice Cream Parlor,American,HSR Layout,4.7,500,No,Yes,2376,4189510334,97 MG Road Bangalore
Taco Bell,Italian,Marathahalli,3.3,300,No,No,2402,7155625274,35 BTM Layout Bangalore
Mediterranean Delight,Mexican,MG Road,3.6,500,No,No,2975,7604303353,58 Brigade Road Bangalore
Steak House,Indian,Brigade Road,4.4,500,No,Yes,1709,5390445409,21 BTM Layout Bangalore
Noodle Bar,Mexican,Koramangala,3.6,300,No,Yes,976,7536561693,56 JP Nagar Bangalore
Golden Dragon,Indian,Electronic City,4.5,1500,No,No,4376,8739447625,95 Marathahalli Bangalore
Golden Dragon,Japanese,HSR Layout,4.1,2000,Yes,No,449,6178053994,31 Electronic City Bangalore
Pizza Express,Chinese,Koramangala,3.7,300,No,Yes,2461,8325777451,95 Electronic City Bangalore
Vegan Heaven,Fast Food,JP Nagar,3.2,1500,No,Yes,591,6274459526,67 HSR Layout Bangalore
BBQ Junction,American,JP Nagar,3.5,1500,Yes,No,3804,418963677,5 Brigade Road Bangalore
Coffee Corner,Mediterranean,Indiranagar,3.5,1500,Yes,Yes,4491,4006688240,10 Marathahalli Bangalore
Bakery Sweet,Continental,Koramangala,4.6,300,No,Yes,3582,4164516099,28 Electronic City Bangalore
Vegan Heaven,Japanese,Marathahalli,3.4,1500,No,Yes,4214,3668115865,64 Indiranagar Bangalore
Curry House,American,Marathahalli,4.5,2000,Yes,Yes,4900,555836271,90 JP Nagar Bangalore
Burger Palace,Korean,Brigade Road,3.0,1000,No,No,1536,1327008037,98 Electronic City Bangalore
Seafood Shack,Chinese,Indiranagar,3.3,700,Yes,No,4534,9950018085,33 HSR Layout Bangalore
Seafood Shack,Mediterranean,Koramangala,4.6,300,No,Yes,4615,345144379,41 Brigade Road Bangalore
Vegan Heaven,Mediterranean,Electronic City,4.8,1000,Yes,Yes,2216,1286127979,66 MG Road Bangalore
Taco Bell,Mediterranean,Brigade Road,4.1,300,No,No,2269,3525907940,12 BTM Layout Bangalore
Ice Cream Parlor,Thai,Whitefield,3.4,1500,No,Yes,827,584814832,84 Whitefield Bangalore
Thai Paradise,Thai,BTM Layout,3.9,700,No,Yes,2381,9428080605,14 HSR Layout Bangalore
Fried Chicken Co,French,Koramangala,4.6,500,Yes,No,661,3763054457,85 HSR Layout Bangalore
Curry House,Japanese,Indiranagar,3.4,500,Yes,Yes,1491,5819892997,89 Marathahalli Bangalore
Bakery Sweet,American,Brigade Road,4.4,500,No,No,1696,3465630329,26 Whitefield Bangalore
Ice Cream Parlor,Indian,Whitefield,3.9,2000,No,No,3435,3217040625,54 Koramangala Bangalore
Seafood Shack,Mediterranean,MG Road,3.4,1500,Yes,Yes,4246,2006547706,97 MG Road Bangalore
Ice Cream Parlor,Korean,Koramangala,4.7,500,Yes,No,3387,3780537040,67 Marathahalli Bangalore
Vegan Heaven,Mexican,Koramangala,4.8,2000,No,No,4598,3839195445,70 BTM Layout Bangalore
Bakery Sweet,Italian,Brigade Road,3.7,2000,No,Yes,4696,1115455368,29 BTM Layout Bangalore
Noodle Bar,Italian,Indiranagar,4.8,2000,Yes,No,413,5961452316,50 Brigade Road Bangalore
Taco Bell,Thai,Electronic City,3.2,500,Yes,No,950,3926654234,16 HSR Layout Bangalore
Burger Palace,Japanese,Electronic City,4.9,300,Yes,No,2418,6005603518,24 Koramangala Bangalore
Golden Dragon,Continental,Marathahalli,4.4,700,No,No,1450,6549204385,34 Koramangala Bangalore
Sushi House,Chinese,Koramangala,4.5,2000,No,Yes,3184,5317188792,24 MG Road Bangalore
BBQ Junction,Korean,Indiranagar,4.6,1500,Yes,No,58,5278416550,88 HSR Layout Bangalore
Golden Dragon,Thai,JP Nagar,3.1,2000,Yes,No,4513,8818317312,52 Koramangala Bangalore
Steak House,Korean,JP Nagar,4.9,300,Yes,No,275,6650634621,66 Whitefield Bangalore
Spice Garden,Mediterranean,MG Road,3.5,700,No,No,4603,9116537150,48 Brigade Road Bangalore
Burger Palace,Mexican,HSR Layout,4.3,2000,No,Yes,1770,6509431066,39 Brigade Road Bangalore
Spice Garden,Mediterranean,Whitefield,4.1,2000,Yes,No,1792,336500561,48 Whitefield Bangalore
Coffee Corner,Italian,MG Road,3.9,1000,No,Yes,4264,5488248986,10 Whitefield Bangalore
Steak House,Continental,Indiranagar,4.6,700,Yes,Yes,3965,6519246130,70 Koramangala Bangalore
Ice Cream Parlor,Korean,Whitefield,3.5,700,Yes,Yes,1120,9121272907,73 Brigade Road Bangalore
Noodle Bar,Japanese,MG Road,3.6,1000,No,No,3153,5815608744,85 HSR Layout Bangalore
Ice Cream Parlor,Mexican,Marathahalli,4.1,500,Yes,No,284,5798193989,40 MG Road Bangalore
Seafood Shack,Indian,HSR Layout,4.7,1500,Yes,No,4468,7839465271,9 MG Road Bangalore
Steak House,Fast Food,Brigade Road,4.2,700,Yes,Yes,3079,3974869951,8 Electronic City Bangalore
Thai Paradise,Italian,Koramangala,3.5,700,Yes,No,1146,195104137,68 Whitefield Bangalore
Mediterranean Delight,Korean,JP Nagar,4.5,700,No,Yes,3573,3961592375,3 MG Road Bangalore
Steak House,French,MG Road,4.6,1000,Yes,No,2272,517625920,35 Koramangala Bangalore
Mexican Fiesta,Japanese,MG Road,4.1,500,Yes,Yes,2765,8137479906,34 HSR Layout Bangalore
Fried Chicken Co,Japanese,Brigade Road,4.4,700,Yes,No,1693,4647848477,44 Whitefield Bangalore
Taco Bell,Japanese,MG Road,5.0,1000,No,Yes,4288,420688370,8 JP Nagar Bangalore
Mexican Fiesta,French,MG Road,4.1,1000,No,Yes,4298,6787934107,83 MG Road Bangalore
Coffee Corner,Italian,MG Road,4.5,300,No,Yes,2319,2861467345,37 Electronic City Bangalore
Fried Chicken Co,Mediterranean,JP Nagar,3.0,2000,Yes,Yes,3442,1716913976,60 BTM Layout Bangalore
Italian Bistro,Mediterranean,Brigade Road,3.8,700,Yes,No,4908,9692408622,45 Marathahalli Bangalore
Fried Chicken Co,Japanese,MG Road,4.7,1500,No,Yes,4003,1489903229,81 Koramangala Bangalore
Italian Bistro,Chinese,Whitefield,4.9,300,No,No,1349,8944993369,21 BTM Layout Bangalore
BBQ Junction,Indian,Indiranagar,5.0,700,Yes,No,743,5581015662,49 Brigade Road Bangalore
Burger Palace,American,Marathahalli,4.3,500,No,Yes,2878,6965270761,86 JP Nagar Bangalore
Mexican Fiesta,Italian,Marathahalli,4.2,1000,Yes,Yes,3684,3016215308,16 Brigade Road Bangalore
Thai Paradise,Italian,Electronic City,3.6,2000,No,No,3447,3619026210,5 MG Road Bangalore
BBQ Junction,Mexican,JP Nagar,3.1,500,Yes,No,50,6644556994,95 HSR Layout Bangalore
Italian Bistro,Korean,JP Nagar,4.4,300,Yes,No,1063,6291429896,43 HSR Layout Bangalore
Thai Paradise,Italian,Koramangala,5.0,300,Yes,Yes,1286,7151739757,53 Koramangala Bangalore
Curry House,American,Whitefield,3.2,1000,Yes,Yes,869,8899477021,29 BTM Layout Bangalore
Mexican Fiesta,Thai,Marathahalli,4.6,1500,Yes,Yes,2364,23860355,57 HSR Layout Bangalore
Coffee Corner,French,JP Nagar,3.4,2000,Yes,Yes,718,5538677935,39 MG Road Bangalore
Bakery Sweet,Fast Food,JP Nagar,3.6,700,Yes,No,1563,2028520059,77 Whitefield Bangalore
Seafood Shack,Chinese,Brigade Road,3.0,300,No,Yes,3442,2051489062,69 HSR Layout Bangalore
Mediterranean Delight,American,Electronic City,4.8,1500,Yes,No,1748,4040685350,72 Marathahalli Bangalore
Bakery Sweet,Italian,BTM Layout,3.1,1000,No,No,4805,6359357146,53 JP Nagar Bangalore
Steak House,American,HSR Layout,3.1,300,No,No,4367,1852306670,80 BTM Layout Bangalore
Thai Paradise,American,JP Nagar,3.1,300,Yes,Yes,3623,6889710200,80 Indiranagar Bangalore
BBQ Junction,Fast Food,BTM Layout,4.4,1500,No,No,2391,3728371614,24 Marathahalli Bangalore
Mediterranean Delight,Fast Food,JP Nagar,4.8,300,No,Yes,4415,5736431845,61 Koramangala Bangalore
Burger Palace,American,MG Road,4.3,1500,No,No,4211,4939172096,51 HSR Layout Bangalore
Pizza Express,Mediterranean,Marathahalli,3.1,700,Yes,No,2872,990113234,30 BTM Layout Bangalore
Steak House,Korean,Marathahalli,3.9,700,No,Yes,3673,4383455127,73 BTM Layout Bangalore
Taco Bell,French,Whitefield,3.7,500,Yes,Yes,3678,8086011702,1 Brigade Road Bangalore
Noodle Bar,Chinese,Whitefield,3.0,700,Yes,Yes,4420,6558316530,86 Whitefield Bangalore
Coffee Corner,Chinese,JP Nagar,4.4,700,Yes,Yes,3349,2133940909,81 MG Road Bangalore
Thai Paradise,Continental,Marathahalli,4.8,500,No,Yes,726,6211925902,57 Whitefield Bangalore
Thai Paradise,Fast Food,BTM Layout,4.1,700,No,Yes,4024,8102369368,1 Marathahalli Bangalore
BBQ Junction,Mediterranean,Indiranagar,4.3,2000,No,No,4595,9809139846,49 Koramangala Bangalore
Noodle Bar,Indian,JP Nagar,5.0,300,No,No,1883,3374489536,66 JP Nagar Bangalore
Mexican Fiesta,American,Koramangala,3.1,500,Yes,No,4736,9620793386,16 HSR Layout Bangalore
Curry House,French,Indiranagar,3.1,500,No,Yes,1877,1548034699,61 BTM Layout Bangalore
Vegan Heaven,Mediterranean,JP Nagar,3.3,500,No,Yes,1576,1336595583,29 BTM Layout Bangalore
Pizza Express,Japanese,Koramangala,4.4,700,No,Yes,1450,4228002404,73 HSR Layout Bangalore
Mexican Fiesta,Mediterranean,Brigade Road,4.6,2000,No,Yes,997,953790434,17 Whitefield Bangalore
Noodle Bar,Japanese,JP Nagar,4.9,500,Yes,Yes,1481,4933597508,91 MG Road Bangalore
Seafood Shack,Thai,JP Nagar,3.3,700,Yes,Yes,3992,7158860018,95 Koramangala Bangalore
Mediterranean Delight,American,Whitefield,4.1,700,No,No,3298,3107735375,65 Koramangala Bangalore
Bakery Sweet,Mexican,Whitefield,3.7,2000,Yes,No,2134,9592231521,42 HSR Layout Bangalore
Noodle Bar,Korean,HSR Layout,4.6,2000,Yes,Yes,3361,5857742542,43 Koramangala Bangalore
Mexican Fiesta,American,Indiranagar,5.0,1000,Yes,No,4912,8098709939,94 MG Road Bangalore
Ice Cream Parlor,French,Marathahalli,4.6,2000,Yes,Yes,3184,570995075,90 Electronic City Bangalore
Seafood Shack,Japanese,JP Nagar,3.7,1500,Yes,No,3235,1423971860,77 JP Nagar Bangalore
Sushi House,Mediterranean,JP Nagar,3.8,1500,Yes,Yes,2582,4541936341,62 Electronic City Bangalore
Noodle Bar,Korean,Koramangala,4.9,2000,Yes,No,4397,5690365832,74 HSR Layout Bangalore
Pizza Express,American,HSR Layout,3.7,2000,No,Yes,1242,1345989416,99 Koramangala Bangalore
Golden Dragon,Indian,HSR Layout,3.8,500,Yes,No,4327,9238774244,90 MG Road Bangalore
Coffee Corner,Mexican,Marathahalli,3.9,2000,No,Yes,413,2575831274,39 HSR Layout Bangalore
Mediterranean Delight,Fast Food,Electronic City,4.2,300,Yes,No,902,3459217812,69 Indiranagar Bangalore
Bakery Sweet,Japanese,Electronic City,3.7,700,Yes,No,3989,2100075826,22 Brigade Road Bangalore
Mediterranean Delight,Thai,Indiranagar,4.1,1000,No,Yes,2326,6432691739,24 JP Nagar Bangalore
