name,addr,city,phone,type
vida,1930 north hillhurst ave.,los feliz,213/660-4446,american
hudson river club,4 world financial center,new york,212/786-1500,american
jean lafitte,68 w. 58th st.,new york,212/751-2323,french
adriano's ristorante,2930 beverly glen circle,los angeles,310/475-9807,italian
palm  the (atlanta),3391 peachtree rd. ne,atlanta,404-814-1955,steakhouses
sushi nozawa,11288 ventura blvd.,studio city,818-508-7017,japanese
the coffee pot,350 9th ave. at 49th st.,new york,212/265-3566,coffee bar
evergreen cafe,1288 1st ave. at 69th st.,new york,212/744-3266,asian
dante's down the hatch  buckhead,3380 peachtree rd.,atlanta,404/266-1600,continental
wu kong,101 spear st.,san francisco,415/957-9300,asian
mo's burgers,1322 grant st.,san francisco,415-788-3779,hamburgers
deacon burton's soulfood restaurant,1029 edgewood ave. se,atlanta,404-523-1929,southern/soul
nicky blair's,3925 paradise rd.,las vegas,702-792-9900,italian
r&g lounge,631 b kearny st.,san francisco,415/982-7877,or 415/982-3811 asian
menchanko-tei,39 w. 55th st.,new york city,212-247-1585,japanese
apple pan  the,10801 w. pico blvd.,west la,310-475-3585,american
kiev,117 second ave.,new york city,212-674-4040,ukrainian
margarita's mexican cantina,3120 las vegas blvd. s,las vegas,702/794-8200,mexican
silver skillet  the,200 14th st. nw,atlanta,404-874-1388,coffee shops
carta,1772 market st.,san francisco,415/863-3516,american
les celebrites,155 w. 58th st.,new york city,212-484-5113,french (classic)
drai's,730 n. la cienega blvd.,los angeles,310/358-8585,french
poquito mas,2635 w. olive ave.,burbank,818-563-2252,mexican
ciboulette restaurant,1529 piedmont ave.,atlanta,404-874-7600,french (new)
pricci,500 pharr rd.,atlanta,404/237-2941,italian
philippe the original,1001 n. alameda st.,chinatown,213-628-3781,cafeterias
binion's coffee shop,128 fremont st.,las vegas,702/382-1600,coffee shops/diners
la grotta,2637 peachtree rd.  peachtree house condominium,atlanta,404/231-1368,italian
bristol farms market cafe,1570 rosecrans ave. s.,pasadena,310-643-5229,californian
monsoon (ny),435 amsterdam ave.,new york city,212-580-8686,thai
kuruma zushi,2nd fl.,new york city,212-317-2802,japanese
lettuce souprise you (at),3525 mall blvd.,duluth,770-418-9969,cafeterias
mesa grill,102 fifth ave.,new york city,212-807-7400,southwestern
viva mercado's,6182 w. flamingo rd.,las vegas,702/871-8826,mexican
dive!,10250 santa monica blvd.,los angeles,310/788-,dive american
cafe marimba,2317 chestnut st.,san francisco,415/776-1506,mexican/latin american/spanish
mo better meatty meat,7261 melrose ave.,la,213-935-5280,hamburgers
sfuzzi,58 w. 65th st.,new york,212/873-3700,american
golden steer,308 w. sahara ave.,las vegas,702/384-4470,steak houses
szechuan kitchen,1460 first ave.,new york city,212-249-4615,chinese
khan toke thai house,5937 geary blvd.,san francisco,415/668-6654,asian
l'udo,432 lafayette st.  near astor pl.,new york,212/388-0978,french
le chantilly,106 e. 57th st.,new york,212/751-2931,french
la caridad,2199 broadway,new york city,212-874-2780,cuban
plumpjack cafe,3127 fillmore st.,san francisco,415-563-4755,american (new)
hotel bel-air,701 stone canyon rd.,bel air,310/472-1211,californian
yoyo tsumami bistro,1611 post st.,san francisco,415/922-7788,french
madame ching's,3300 las vegas blvd. s.,las vegas,702-894-7111,asian
one market,1 market st.,san francisco,415/777-5577,american
capozzoli's,3333 s. maryland pkwy.,las vegas,702/731-5311,italian
gray's papaya,2090 broadway,new york city,212-799-0243,hot dogs
local nochol,30869 thousand oaks blvd.,westlake village,818-706-7706,health food
montrachet,239 w. broadway  between walker and white sts.,new york,212/ 219-2777,french
jackson diner,37-03 74th st.,queens,718-672-1232,indian
cafe adriano,3347 fillmore st.,san francisco,415/474-4180,italian
lincoln tavern,51 w. 64th st.,new york,212/721-8271,american
city grill,50 hurt plaza,atlanta,404/524-2489,international
21 club,21 w. 52nd st.,new york city,212-582-7200,american (new)
patina,5955 melrose ave.,los angeles,213/467-1108,californian
fleur de lys,777 sutter st.,san francisco,415/673-7779,french
chin's,3200 las vegas blvd. s,las vegas,702/733-8899,asian
locanda veneta,8638 w. third st.,los angeles,310-274-1893,italian
thai house cafe,151 hudson st.,new york city,212-334-1085,thai
ca'brea,346 s. la brea ave.,los angeles,213/938-2863,italian
zen palate,34 union sq. e at 16th st.,new york,212/614-9291,and 212/614-9345 asian
il cortile,125 mulberry st.  between canal and hester sts.,new york,212/226-6060,italian
aja,937 broadway at 22nd st.,new york,212/473-8388,american
mavalli palace,46 e. 29th st.,new york,212/679-5535,asian
johnny reb's southern smokehouse,4663 long beach blvd.,long beach,310-423-7327,southern/soul
l'auberge du midi,310 w. 4th st.  between w. 12th and bank sts.,new york,212/242-4705,french
hong kong flower lounge,5322 geary blvd.,san francisco,415/668-8998,asian
bistango,1100 peachtree st.,atlanta,404/724-0901,mediterranean
le montrachet,3000 w. paradise rd.,las vegas,702/732-5111,continental
daniel,20 e. 76th st.,new york,212/288-0033,french
terrace,400 w. 119th st.  between amsterdam and morningside aves.,new york,212/666-9490,continental
baja fresh,3345 kimber dr.,westlake village,805-498-4049,mexican
uncle nick's,747 9th ave.  between 50th and 51st sts.,new york,212/315-1726,mediterranean
emerald garden restaurant,1550 california st.,san francisco,415-673-1155,vietnamese
mi spia dunwoody rd.,park place  across from perimeter mall  dunwoody,atlanta,770/393-1333,italian
dawat,210 e. 58th st.,new york,212/355-7555,asian
fenix,8358 sunset blvd. west,hollywood,213/848-6677,american
buckhead diner,3073 piedmont road,atlanta,404/262-3336,american
spago,1114 horn ave.,los angeles,310/652-4025,californian
aleck's barbecue heaven,783 martin luther king jr. dr.,atlanta,404/525-2062,barbecue
il nido,251 e. 53rd st.,new york,212/753-8450,italian
veni vidi vici,41 14th st.,atlanta,404-875-8424,italian
plumpjack cafe,3201 fillmore st.,san francisco,415/563-4755,mediterranean
cafe lalo,201 w. 83rd st.,new york,212/496-6031,coffee bar
da nico,164 mulberry st.  between grand and broome sts.,new york,212/343-1212,italian
peter luger steak house,178 broadway,brooklyn,718-387-7400,steakhouses
cucina di pesce,87 e. fourth st.,new york city,212-260-6800,seafood
good enough to eat,483 amsterdam ave.,new york city,212-496-0163,american
arturo's,106 w. houston st.  off thompson st.,new york,212/677-3820,italian
rubin's red hots,15322 ventura blvd.,encino,818-905-6515,hot dogs
il fornaio cucina italiana,301 n. beverly dr.,los angeles,310/550-8330,italian
il mulino,86 w. third st.,new york city,212-673-3783,italian
shaan,57 w. 48th st.,new york,212/ 977-8400,asian
sant ambroeus,1000 madison ave.  between 77th and 78th sts.,new york,212/570-2211,coffee bar
tu lan,8 sixth st.,san francisco,415-626-0927,vietnamese
prego,362 n. camden dr.,los angeles,310/277-7346,italian
fleur de lys,777 sutter st.,san francisco,415-673-7779,french (new)
delectables,1 margaret mitchell sq.,atlanta,404-681-2909,cafeterias
mandarin court,1510 e. flamingo rd.,las vegas,702/737-1234,asian
john's pizzeria,48 w. 65th st.,new york city,212-721-7001,pizza
le madri,168 w. 18th st.,new york,212/727-8022,italian
ruby's (la),45 s. fair oaks ave.,pasadena,818-796-7829,diners
tribeca grill,375 greenwich st.  near franklin st.,new york,212/941-3900,american
fiore rotisserie & grille,3700 w. flamingo rd.,las vegas,702-252-7702,italian
petrossian,182 w. 58th st.,new york city,212-245-2214,russian
2223,2223 market st.,san francisco,415/431-0692,american
l'absinthe,227 e. 67th st.,new york,212/794-4950,french
arnie morton's of chicago,435 s. la cienega blvd.,los angeles,310-246-1501,steakhouses
indian delights,3675 satellite blvd.,duluth,100-813-8212,indian
the bacchanal,3570 las vegas blvd. s,las vegas,702/731-7525,only in las vegas
la cote basque,60 w. 55th st.  between 5th and 6th ave.,new york,212/688-6525,french
hawthorne lane,22 hawthorne st.,san francisco,415-777-9779,californian
philippe's the original,1001 n. alameda st.,los angeles,213/628-3781,american
michael's (las vegas),3595 las vegas blvd. s.,las vegas,702-737-7111,continental
french quarter food shop,923 peachtree st.  at 8th st.,atlanta,404/875-2489,southern
odeon,145 w. broadway at thomas st.,new york,212/233-0507,american
san pietro,18 e. 54th st.,new york,212/753-9015,italian
gallagher's,228 w. 52nd st.,new york,212/245-5336,american
manhattan ocean club,57 w. 58th st.,new york city,212-371-7777,seafood
diva,341 w. broadway  near grand st.,new york,212/941-9024,italian
yolie's,3900 paradise rd.,las vegas,702/794-0700,steak houses
empire korea,6 e. 32nd st.,new york,212/725-1333,asian
monte carlo,3145 las vegas blvd. s.,las vegas,702-733-4524,french (new)
drago,2628 wilshire blvd.,santa monica,310/828-1585,italian
citrus,6703 melrose ave.,los angeles,213-857-0034,californian
cafe pierre,2 e. 61st st.,new york,212/940-8185,french
kuleto's,221 powell st.,san francisco,415/397-7720,italian
joe allen,326 w. 46th st.,new york,212/581-6464,american
roscoe's house of chicken 'n' waffles,1514 n. gower st.,los angeles,213/466-9329,american
heera of india,595 piedmont ave.  rio shopping mall,atlanta,404/876-4408,asian
slanted door,584 valencia st.,san francisco,415-861-8032,vietnamese
asahi ramen,2027 sawtelle blvd.,west la,310-479-2231,noodle shops
vince & eddie's,70 w. 68th st.,new york,212/721-0068,american
la cumbre,515 valencia st.,san francisco,415-863-8205,mexican
colonnade restaurant,1879 cheshire bridge rd.,atlanta,404/874-5642,southern
dynasty room,930 hilgard ave.,los angeles,310/208-8765,continental
acquarello,1722 sacramento st.,san francisco,415/567-5432,italian
venetian,3713 w. sahara ave.,las vegas,702/876-4190,italian
martha's,22nd street grill 25 22nd,st. hermosa beach,310-376-7786,american
alain rondelli,126 clement st.,san francisco,415-387-0408,french (new)
steakhouse  the,128 e. fremont st.,las vegas,702-382-1600,steakhouses
r-23,923 e. third st.,los angeles,213-687-7178,japanese
triangolo,345 e. 83rd st.,new york,212/472-4488,italian
la serenata de garibaldi,1842 e. first,st. boyle hts.,213-265-2887,mexican/tex-mex
horseradish grill,4320 powers ferry rd.,atlanta,404/255-7277,southern
carnegie deli,854 7th ave.  between 54th and 55th sts.,new york,212/757-2245,delicatessen
trattoria dell'arte,900 7th ave.  between 56th and 57th sts.,new york,212/245-9800,italian
ralph's diner,3000 las vegas blvd. s,las vegas,702/732-6330,coffee shops/diners
patsy's pizza,19 old fulton st.,brooklyn,718-858-4300,pizza
jack sprat's grill,10668 w. pico blvd.,los angeles,310/837-6662,health food
katsu,1972 hillhurst ave.,los feliz,213-665-1891,japanese
cafe la fortuna,69 w. 71st st.,new york,212/724-5846,coffee bar
seventh regiment mess and bar,643 park ave. at 66th st.,new york,212/744-4107,american
delectables,1 margaret mitchell sq.,atlanta,404/681-2909,american
swingers,8020 beverly blvd.,los angeles,213/653-5858,american
aqua,252 california st.,san francisco,415-956-9662,american (new)
jewel of india,15 w. 44th st.,new york,212/869-5544,asian
harold's barbecue,171 mcdonough blvd.,atlanta,404-627-9268,bbq
manila garden,325 e. 14th st.  between 1st and 2nd aves.,new york,212/777-6314,asian
abbey,163 ponce de leon ave.,atlanta,404/876-8532,international
el teddy's,219 w. broadway  between franklin and white sts.,new york,212/941-7070,mexican
buzio's in the rio,3700 w. flamingo rd.,las vegas,702-252-7697,seafood
bryant park grill  roof restaurant and bp cafe,25 w. 40th st.  between 5th and 6th aves.,new york,212/840-6500,american
don antonio's,1136 westwood blvd.,westwood,310-209-1422,italian
union square cafe,21 e. 16th st.,new york,212/243-4020,american
falafel king,1059 broxton ave.,westwood,310-208-4444,middle eastern
montrachet,239 w. broadway,new york city,212-219-2777,french bistro
halcyon,151 w. 54th st.  in the rihga royal hotel,new york,212/468-8888,american
lespinasse (new york city),2 e. 55th st.,new york city,212-339-6719,asian
serendipity,3 225 e. 60th st.,new york,212/838-3531,american
chiam,160 e. 48th st.,new york,212/371-2323,asian
mifune japan center  kintetsu building,1737 post st.,san francisco,415/922-0337,asian
sweet'n'tart cafe,76 mott st. at canal st.,new york,212/334-8088,asian
shun lee palace,155 e. 55th st.,new york city,212-371-8844,chinese
pacific pan pacific hotel,500 post st.,san francisco,415/929-2087,french
restaurant katsu,1972 n. hillhurst ave.,los angeles,213/665-1891,asian
rae's,2901 pico blvd.,santa monica,310-828-7937,diners
gotham bar & grill,12 e. 12th st.,new york city,212-620-4020,american (new)
picholine,35 w. 64th st.,new york,212/724-8585,mediterranean
rj's the rib joint,252 n. beverly dr.,los angeles,310/274-7427,american
trio cafe,1870 fillmore st.,san francisco,415-563-2248,american
patria,250 park ave. s at 20th st.,new york,212/777-6211,latin american
park avenue cafe,100 e. 63rd st.,new york,212/644-1900,american
